33|JAWA TENGAH
33.06.14.2012|Gebang
33.06.14.2013|Salam
33.06.14.2014|Pakem
33.06.14.2015|Wonotopo
33.06.14.2016|Sidoleren
33.06.14.2017|Penungkulan
33.06.14.2018|Redin
33.06.14.2019|Tlogosono
33.06.14.2020|Ngemplak
33.06.14.2021|Kragilan
33.06.14.2022|Prumben
33.06.14.2023|Ngaglik
33.06.14.2024|Kemiri
33.06.14.2025|Kalitengkek
33.06.15|Loano
33.06.15.2001|Kalinongko
33.06.15.2002|Trirejo
33.06.15.2003|Karangrejo
33.06.15.2004|Kalikalong
33.06.15.2005|Rimun
33.06.15.2006|Tepansari
33.06.15.2007|Kaliglagah
33.06.15.2008|Tridadi
33.06.15.2009|Banyuasin Separe
33.06.15.2010|Guyangan
33.06.15.2011|Kalisemo
33.06.15.2012|Loano
33.06.15.2013|Jetis
33.06.15.2014|Kedungpoh
33.06.15.2015|Maron
33.06.15.2016|Kebongunung
33.06.15.2017|Mudalrejo
33.06.15.2018|Kemejing
33.06.15.2019|Banyuasin Kembaran
33.06.15.2020|Sedayu
33.06.15.2021|Ngargosari
33.06.16|Bener
33.06.16.2001|Benowo
33.06.16.2002|Kalitapas
33.06.16.2003|Kaliwader
33.06.16.2004|Kedungpucang
33.06.16.2005|Sendangsari
33.06.16.2006|Kaliboto
33.06.16.2007|Kaliurip
33.06.16.2008|Kedungloteng
33.06.16.2009|Wadas
33.06.16.2010|Cacaban Kidul
33.06.16.2011|Cacaban Lor
33.06.16.2012|Pekacangan
33.06.16.2013|Medono
33.06.16.2014|Bleber
33.06.16.2015|Bener
33.06.16.2016|Karangsari
33.06.16.2017|Guntur
33.06.16.2018|Legetan
33.06.16.2019|Ketosari
33.06.16.2020|Kamijoro
33.06.16.2021|Jati
33.06.16.2022|Mayungsari
33.06.16.2023|Kalijambe
33.06.16.2024|Sukowuwuh
33.06.16.2025|Limbangan
33.06.16.2026|Nglaris
33.06.16.2027|Sidomukti
33.06.16.2028|Ngasinan
33.07|KAB. WONOSOBO
33.07.01|Wadaslintang
33.07.01.1007|Wadaslintang
33.07.01.2001|Kaligowong
33.07.01.2002|Sumbersari
33.07.01.2003|Sumberejo
33.07.01.2004|Erorejo
33.07.01.2005|Karanganyar
33.07.01.2006|Panerusan
33.07.01.2008|Plunjaran
33.07.01.2009|Kumejing
33.07.01.2010|Lancar
33.07.01.2011|Somogede
33.07.01.2012|Trimulyo
33.07.01.2013|Tirip
33.07.01.2014|Besuki
33.07.01.2015|Gumelar
33.07.01.2016|Ngalian
33.07.01.2017|Kalidadap
33.07.02|Kepil
33.07.02.1008|Kepil
33.07.02.2001|Gondowulan
33.07.02.2002|Jangkrikan
33.07.02.2003|Tegeswetan
33.07.02.2004|Gadingsukuh
33.07.02.2005|Burat
33.07.02.2006|Bener
33.07.02.2007|Gadingrejo
33.07.02.2009|Beran
33.07.02.2010|Kapulogo
33.07.02.2011|Kagungan
33.07.02.2012|Randusari
33.07.02.2013|Rejosari
33.07.02.2014|Ngalian
33.07.02.2015|Kalipuru
33.07.02.2016|Tanjunganom
33.07.02.2017|Kaliwuluh
33.07.02.2018|Tegalgot
33.07.02.2019|Warangan
33.07.02.2020|Ropoh
33.07.02.2021|Pulosaren
33.07.03|Sapuran
33.07.03.1008|Sapuran
33.07.03.2001|Bogoran
33.07.03.2002|Karangsari
33.07.03.2003|Pecekelan
33.07.03.2004|Glagah
33.07.03.2005|Surojoyo
33.07.03.2006|Talunombo
33.07.03.2007|Tempursari
33.07.03.2009|Jolontoro
33.07.03.2010|Sedayu
33.07.03.2011|Ngadisalam
33.07.03.2012|Tempuranduwur
33.07.03.2013|Marongsari
33.07.03.2014|Batursari
33.07.03.2015|Banyumudal
33.07.03.2016|Ngadikerso
33.07.03.2017|Rimpak
33.07.04|Kaliwiro
33.07.04.1015|Kaliwiro
33.07.04.2001|Selomanik
33.07.04.2002|Bendungan
33.07.04.2003|Medono
33.07.04.2004|Ngadisono
33.07.04.2005|Lebak
33.07.04.2006|Ngasinan
33.07.04.2007|Kaliguwo
33.07.04.2008|Pesodongan
33.07.04.2009|Lamuk
33.07.04.2010|Pucungkerep
33.07.04.2011|Gambaran
33.07.04.2012|Purwosari
33.07.04.2013|Grugu
33.07.04.2014|Tracap
33.07.04.2016|Kauman
33.07.04.2017|Cledok
33.07.04.2018|Winongsari
33.07.04.2019|Sukoreno
33.07.04.2020|Kemiriombo
33.07.04.2021|Tanjunganom
33.07.05|Leksono
33.07.05.1006|Leksono
33.07.05.2001|Sawangan
33.07.05.2002|Lipursari
33.07.05.2003|Selokromo
33.07.05.2004|Sojokerto
33.07.05.2005|Besani
33.07.05.2007|Jlamprang
33.07.05.2008|Wonokerto
33.07.05.2009|Jonggolsari
33.07.05.2010|Kalimendong
33.07.05.2011|Timbang
33.07.05.2012|Pacarmulyo
33.07.05.2013|Durensawit
33.07.05.2014|Manggis
33.07.06|Selomerto
33.07.06.1008|Selomerto
33.07.06.1011|Wonorejo
33.07.06.2001|Kecis
33.07.06.2002|Kaliputih
33.07.06.2003|Candi
33.07.06.2004|Balekambang
33.07.06.2005|Karangrejo
33.07.06.2006|Krasak
33.07.06.2007|Gunungtawang
33.07.06.2009|Pakuncen
33.07.06.2010|Kalierang
33.07.06.2012|Wilayu
33.07.06.2013|Sinduagung
33.07.06.2014|Sumberwulan
33.07.06.2015|Plobangan
33.07.06.2016|Simbarejo
33.07.06.2017|Wulungsari
33.07.06.2018|Bumitirto
33.07.06.2019|Semayu
33.07.06.2020|Adiwarno
33.07.06.2021|Kadipaten
33.07.06.2022|Sidorejo
33.07.06.2023|Tumenggungan
33.07.06.2024|Ngadimulyo
33.07.07|Kalikajar
33.07.07.1006|Kalikajar
33.07.07.2001|Mangunrejo
33.07.07.2002|Mungkung
33.07.07.2003|Perboto
33.07.07.2004|Kedalon
33.07.07.2005|Rejosari
33.07.07.2007|Simbang
33.07.07.2008|Karangduwur
33.07.07.2009|Kwadungan
33.07.07.2010|Purwojiwo
33.07.07.2011|Wonosari
33.07.07.2012|Kalikuning
33.07.07.2013|Maduretno
33.07.07.2014|Tegalombo
33.07.07.2015|Kembaran
33.07.07.2016|lamuk
33.07.07.2017|Bowongso
33.07.07.2018|Butuh Lor
33.07.07.2019|Butuh Kidul
33.07.08|Kertek
33.07.08.1001|Wringinanom
33.07.08.1008|Kertek
33.07.08.2002|Sudungdewo
33.07.08.2003|Bejiarum
33.07.08.2004|Ngadikusuman
33.07.08.2005|Bojasari
33.07.08.2006|Surengede
33.07.08.2007|Sindupaten
33.07.08.2009|Sumberdalem
33.07.08.2010|Purwojati
33.07.08.2011|Karangluhur
33.07.08.2012|Tlogodalem
33.07.08.2013|Banjar
33.07.08.2014|Damarkasihan
33.07.08.2015|Tlogomulyo
33.07.08.2016|Pagerejo
33.07.08.2017|Candimulyo
33.07.08.2018|Purbosono
33.07.08.2019|Candiyasan
33.07.08.2020|Kapencar
33.07.08.2021|Reco
33.07.09|Wonosobo
33.07.09.1002|Tawangsari
33.07.09.1003|Mlipak
33.07.09.1004|Jaraksari
33.07.09.1006|Kramatan
33.07.09.1008|Bumiroso
33.07.09.1009|Rojoimo
33.07.09.1010|Pagerkukuh
33.07.09.1011|Sambek
33.07.09.1013|Kejiwan
33.07.09.1014|Kalianget
33.07.09.1015|Jlamprang
33.07.09.1020|Wonosobo Barat
33.07.09.1021|Wonosobo Timur
33.07.09.2001|Wonolelo
33.07.09.2005|Jogoyitnan
33.07.09.2007|Pancurwening
33.07.09.2016|Wonosari
33.07.09.2017|Bomerto
33.07.09.2018|Sariyoso
33.07.09.2019|Tlogojati
33.07.10|Watumalang
33.07.10.1010|Wonoroto
33.07.10.2001|Bumiroso
33.07.10.2002|Gondang
33.07.10.2003|Limbangan
33.07.10.2004|Kuripan
33.07.10.2005|Banyukembar
33.07.10.2006|Gumawangkidul
33.07.10.2007|Wonosroyo
33.07.10.2008|Watumalang
33.07.10.2009|Pasuruhan
33.07.10.2011|Lumajang
33.07.10.2012|Binangun
33.07.10.2013|Wonokampir
33.07.10.2014|Krinjing
33.07.10.2015|Mutisari
33.07.10.2016|Kalidesel
33.07.11|Mojotengah
33.07.11.1004|Mudal
33.07.11.1005|Andongsili
33.07.11.1009|Kalibeber
33.07.11.2001|Sojopuro
33.07.11.2002|candirejo
33.07.11.2003|Keseneng
33.07.11.2006|Krasak
33.07.11.2007|Bumirejo
33.07.11.2008|Blederan
33.07.11.2010|Sukorejo
33.07.11.2011|Larangankulon
33.07.11.2012|Pungangan
33.07.11.2013|Gunturmadu
33.07.11.2014|Mojosari
33.07.11.2015|wonokromo
33.07.11.2016|Derongisor
33.07.11.2017|Deroduwur
33.07.11.2018|Slukatan
33.07.11.2019|Kebrengan
33.07.12|Garung
33.07.12.1005|Garung
33.07.12.2001|Lengkong
33.07.12.2002|Gemblengan
33.07.12.2003|Sendangsari
33.07.12.2004|Kayugiyang
33.07.12.2006|Siwuran
33.07.12.2007|Kuripan
33.07.12.2008|Jengkol
33.07.12.2009|Tlogo
33.07.12.2010|Maron
33.07.12.2011|Menjer
33.07.12.2012|Mlandi
33.07.12.2013|Laranganlor
33.07.12.2014|Sitiharjo
33.07.12.2015|Tegalsari
33.07.13|Kejajar
33.07.13.1008|Kejajar
33.07.13.2001|Campursari
33.07.13.2002|Sikunang
33.07.13.2003|Sembungan
33.07.13.2004|Kreo
33.07.13.2005|Tambi
33.07.13.2006|Buntu
33.07.13.2007|Sigedang
33.07.13.2009|Serang
33.07.13.2010|Tieng
33.07.13.2011|Parikesit
33.07.13.2012|Jojogan
33.07.13.2013|Dieng
33.07.13.2014|Patakbanteng
33.07.13.2015|Surengede
33.07.13.2016|Igirmranak
33.07.14|Sukoharjo
33.07.14.2001|Kupangan
33.07.14.2002|Mergosari
33.07.14.2003|Sukoharjo
33.07.14.2004|Rogojati
33.07.14.2005|Karanganyar
33.07.14.2006|Sempol
33.07.14.2007|Plodongan
33.07.14.2008|Suroyudan
33.07.14.2009|Gumiwang
33.07.14.2010|Gunungtugel
33.07.14.2011|Pulus
33.07.14.2012|Pucungwetan
33.07.14.2013|Kajeksan
33.07.14.2014|Tlogo
33.07.14.2015|Kalibening
33.07.14.2016|Garunglor
33.07.14.2017|Jebengplampitan
33.07.15|Kalibawang
33.07.15.2001|Pengarengan
33.07.15.2002|Kalikarung
33.07.15.2003|Dempel
33.07.15.2004|Karangsambung
33.07.15.2005|Tempurejo
33.07.15.2006|Mergolangu
33.07.15.2007|Depok
33.07.15.2008|Kalialang
33.08|KAB. MAGELANG
33.08.01|Salaman
33.08.01.2001|Ngargoretno
33.08.01.2002|Paripurno
33.08.01.2003|Kalirejo
33.08.01.2004|Menoreh
33.08.01.2005|Ngadirejo
33.08.01.2006|Sidomulyo
33.08.01.2007|Kebonrejo
33.08.01.2008|Salaman
33.08.01.2009|Kalisalak
33.08.01.2010|Sriwedari
33.08.01.2011|Jebengsari
33.08.01.2012|Tanjunganom
33.08.01.2013|Banjarharjo
33.08.01.2014|Purwosari
33.08.01.2015|Ngampeldento
33.08.01.2016|Sidosari
33.08.01.2017|Sawangargo
33.08.01.2018|Krasak
33.08.01.2019|Margoyoso
33.08.01.2020|Kaliabu
33.08.02|Borobudur
33.08.02.2001|Giripurno
33.08.02.2002|Giritengah
33.08.02.2003|Tuksongo
33.08.02.2004|Majaksingi
33.08.02.2005|Kenalan
33.08.02.2006|Bigaran
33.08.02.2007|Sambeng
33.08.02.2008|Candirejo
33.08.02.2009|Ngargogondo
33.08.02.2010|Wanurejo
33.08.02.2011|Borobudur
33.08.02.2012|Tanjungsari
33.08.02.2013|Karanganyar
33.08.02.2014|Karangrejo
33.08.02.2015|Ngadiharjo
33.08.02.2016|Kebonsari
33.08.02.2017|Tegalarum
33.08.02.2018|Kembanglimus
33.08.02.2019|Wringinputih
33.08.02.2020|Bumiharjo
33.08.03|Ngluwar
33.08.03.2001|Bligo
33.08.03.2002|Pakunden
33.08.03.2003|Somokaton
33.08.03.2004|Ngluwar
33.08.03.2005|Karangtalun
33.08.03.2006|Jamuskauman
33.08.03.2007|Plosogede
33.08.03.2008|Blongkeng
33.08.04|Salam
33.08.04.2001|Mantingan
33.08.04.2002|Salam
33.08.04.2003|Sucen
33.08.04.2004|Kadiluwih
33.08.04.2005|Somoketro
33.08.04.2006|Jumoyo
33.08.04.2007|Tirto
33.08.04.2008|Baturono
33.08.04.2009|Tersangede
33.08.04.2010|Sirahan
33.08.04.2011|Seloboro
33.08.04.2012|Gulon
33.08.05|Srumbung
33.08.05.2001|Sudimoro
33.08.05.2002|Pandanretno
33.08.05.2003|Kaliurang
33.08.05.2004|Tegalrandu
33.08.05.2005|Kamongan
33.08.05.2006|Jerukagung
33.08.05.2007|Kradenan
33.08.05.2008|Banyuadem
33.08.05.2009|Ngablak
33.08.05.2010|Srumbung
33.08.05.2011|Bringin
33.08.05.2012|Mranggen
33.08.05.2013|Ngargosoko
33.08.05.2014|Polengan
33.08.05.2015|Pucanganom
33.08.05.2016|Kemiren
33.08.05.2017|Nglumut
33.08.06|Dukun
33.08.06.2001|Ketunggeng
33.08.06.2002|Wates
33.08.06.2003|Ngadipuro
33.08.06.2004|Banyubiru
33.08.06.2005|Banyudono
33.08.06.2006|Dukun
33.08.06.2007|Kalibening
33.08.06.2008|Ngargomulyo
33.08.06.2009|Sumber
33.08.06.2010|Mangunsoko
33.08.06.2011|Sewukan
33.08.06.2012|Sengi
33.08.06.2013|Paten
33.08.06.2014|Krinjing
33.08.06.2015|Keningar
33.08.07|Sawangan
33.08.07.2001|Gondowangi
33.08.07.2002|Sawangan
33.08.07.2003|Krogowanan
33.08.07.2004|Kapuhan
33.08.07.2005|Ketep
33.08.07.2006|Wonolelo
33.08.07.2007|Banyuroto
33.08.07.2008|Wulunggunung
33.08.07.2009|Gantang
33.08.07.2010|Jati
33.08.07.2011|Butuh
33.08.07.2012|Mangunsari
33.08.07.2013|Tirtosari
33.08.07.2014|Podosoko
33.08.07.2015|Soronalan
33.08.08|Muntilan
33.08.08.1014|Muntilan
33.08.08.2001|Tanjung
33.08.08.2002|Sokorini
33.08.08.2003|Sriwedari
33.08.08.2004|Congkrang
33.08.08.2005|Adikarto
33.08.08.2006|Menayu
33.08.08.2007|Keji
33.08.08.2008|Ngawen
33.08.08.2009|Gunungpring
33.08.08.2010|Pucungrejo
33.08.08.2011|Tamanagung
33.08.08.2012|Gondosuli
33.08.08.2013|Sedayu
33.08.09|Mungkid
33.08.09.1003|Mendut
33.08.09.1004|Sawitan
33.08.09.2001|Progowati
33.08.09.2002|Ngrajek
33.08.09.2005|Rambeanak
33.08.09.2006|Paremono
33.08.09.2007|Pabelan
33.08.09.2008|Bojong
33.08.09.2009|Pagersari
33.08.09.2010|Mungkid
33.08.09.2011|Ambartawang
33.08.09.2012|Bumirejo
33.08.09.2013|Blondo
33.08.09.2014|Senden
33.08.09.2015|Gondang
33.08.09.2016|Treko
33.08.10|Mertoyudan
33.08.10.1009|Sumberrejo
33.08.10.2001|Deyangan
33.08.10.2002|Pasuruhan
33.08.10.2003|Donorojo
33.08.10.2004|Kalinegoro
33.08.10.2005|Jogonegoro
33.08.10.2006|Sukorejo
33.08.10.2007|Bondowoso
33.08.10.2008|Danurejo
33.08.10.2010|Banyurojo
33.08.10.2011|Banjarnegoro
33.08.10.2012|Bulurejo
33.08.10.2013|Mertoyudan
33.08.11|Tempuran
33.08.11.2001|Ringinanom
33.08.11.2002|Sumberarum
33.08.11.2003|Sidoagung
33.08.11.2004|Tanggulrejo
33.08.11.2005|Kalisari
33.08.11.2006|Girirejo
33.08.11.2007|Tempurejo
33.08.11.2008|Prajeksari
33.08.11.2009|Jogomulyo
33.08.11.2010|Growong
33.08.11.2011|Temanggal
33.08.11.2012|Pringombo
33.08.11.2013|Kemutuk
33.08.11.2014|Bawang
33.08.11.2015|Tugurejo
33.08.12|Kajoran
33.08.12.2001|Wonogiri
33.08.12.2002|Kwaderan
33.08.12.2003|Madukoro
33.08.12.2004|Bumiayu
33.08.12.2005|Madugondo
33.08.12.2006|Ngargosari
33.08.12.2007|Ngendrosari
33.08.12.2008|Lesanpuro
33.08.12.2009|Banjaretno
33.08.12.2010|Krinjing
33.08.12.2011|Bangsri
33.08.12.2012|Wadas
33.08.12.2013|Kajoran
33.08.12.2014|Mangunrejo
33.08.12.2015|Sambak
33.08.12.2016|Bambusari
33.08.12.2017|Wuwuharjo
33.08.12.2018|Pandansari
33.08.12.2019|Pandanretno
33.08.12.2020|Krumpakan
33.08.12.2021|Banjaragung
33.08.12.2022|Sangen
33.08.12.2023|Pucungroto
33.08.12.2024|Sidorejo
33.08.12.2025|Sidowangi
33.08.12.2026|Sukomulyo
33.08.12.2027|Sukorejo
33.08.12.2028|Sutopati
33.08.12.2029|Sukomakmur
33.08.13|Kaliangkrik
33.08.13.2001|Kaliangkrik
33.08.13.2002|Ngawonggo
33.08.13.2003|Munggangsari
33.08.13.2004|Ngargosoko
33.08.13.2005|Ngendrokilo
33.08.13.2006|Maduretno
33.08.13.2007|Temanggung
33.08.13.2008|Pengarengan
33.08.13.2009|Mangli
33.08.13.2010|Selomoyo
33.08.13.2011|Banjarejo
33.08.13.2012|Giriwarno
33.08.13.2013|Girirejo
33.08.13.2014|Kebonlegi
33.08.13.2015|Balerejo
33.08.13.2016|Beseran
33.08.13.2017|Bumirejo
33.08.13.2018|Ketangi
33.08.13.2019|Balekerto
33.08.13.2020|Adipuro
33.08.14|Bandongan
33.08.14.2001|Bandongan
33.08.14.2002|Salamkanci
33.08.14.2003|Sukosari
33.08.14.2004|Tonoboyo
33.08.14.2005|Gandusari
33.08.14.2006|Sidorejo
33.08.14.2007|Trasan
33.08.14.2008|Banyuwangi
33.08.14.2009|Kedungsari
33.08.14.2010|Sukodadi
33.08.14.2011|Kebonagung
33.08.14.2012|Kalegen
33.08.14.2013|Ngepanrejo
33.08.14.2014|Rejosari
33.08.15|Candimulyo
33.08.15.2001|Surojoyo
33.08.15.2002|Tempak
33.08.15.2003|Sidomulyo
33.08.15.2004|Mejing
33.08.15.2005|Purworejo
33.08.15.2006|Candimulyo
33.08.15.2007|Giyanti
33.08.15.2008|Kembaran
33.08.15.2009|Tegalsari
33.08.15.2010|Podosoko
33.08.15.2011|Tampirkulon
33.08.15.2012|Tempursari
33.08.15.2013|Kebonrejo
33.08.15.2014|Tampirwetan
33.08.15.2015|Tembelang
33.08.15.2016|Sonorejo
33.08.15.2017|Trenten
33.08.15.2018|Bateh
33.08.15.2019|Surodadi
33.08.16|Pakis
33.08.16.2001|Pakis
33.08.16.2002|Banyusidi
33.08.16.2003|Losari
33.08.16.2004|Daseh
33.08.16.2005|Gumelem
33.08.16.2006|Kaponan
33.08.16.2007|Kragilan
33.08.16.2008|Ketundan
33.08.16.2009|Daleman Kidul
33.08.16.2010|Petung
33.08.16.2011|Bawang
33.08.16.2012|Rejosari
33.08.16.2013|Kajangkoso
33.08.16.2014|Munengwarangan
33.08.16.2015|Gondangsari
33.08.16.2016|Kenalan
33.08.16.2017|Pogalan
33.08.16.2018|Gejagan
33.08.16.2019|Muneng
33.08.16.2020|Jambewangi
33.08.17|Ngablak
33.08.17.2001|Ngablak
33.08.17.2002|Jogonayan
33.08.17.2003|Tejosari
33.08.17.2004|Sumberejo
33.08.17.2005|Girirejo
33.08.17.2006|Pandean
33.08.17.2007|Genikan
33.08.17.2008|Bandungrejo
33.08.17.2009|Madyogondo
33.08.17.2010|Jogoyasan
33.08.17.2011|Keditan
33.08.17.2012|Magersari
33.08.17.2013|Kanigoro
33.08.17.2014|Selomirah
33.08.17.2015|Pagergunung
33.08.17.2016|Seloprojo
33.08.18|Grabag
33.08.18.2001|Grabag
33.08.18.2002|Sumurarum
33.08.18.2003|Banyusari
33.08.18.2004|Kartoharjo
33.08.18.2005|Sidogede
33.08.18.2006|Citrosono
33.08.18.2007|Kleteran
33.08.18.2008|Ngasinan
33.08.18.2009|Banaran
33.08.18.2010|Baleagung
33.08.18.2011|Klegen
33.08.18.2012|Kalikuto
33.08.18.2013|Kalipucang
33.08.18.2014|Seworan
33.08.18.2015|Banjarsari
33.08.18.2016|Sambungrejo
33.08.18.2017|Tlogorejo
33.08.18.2018|Tirto
33.08.18.2019|Ketawang
33.08.18.2020|Salam
33.08.18.2021|Cokro
33.08.18.2022|Losari
33.08.18.2023|Ngrancah
33.08.18.2024|Sugihmas
33.08.18.2025|Pesidi
33.08.18.2026|Giriwetan
33.08.18.2027|Pucungsari
33.08.18.2028|Lebak
33.08.19|Tegalrejo
33.08.19.2001|Tegalrejo
33.08.19.2002|Soroyudan
33.08.19.2003|Sidorejo
33.08.19.2004|Purwosari
33.08.19.2005|Dlimas
33.08.19.2006|Banyusari
33.08.19.2007|Sukorejo
33.08.19.2008|Tampingan
33.08.19.2009|Banyuurip
33.08.19.2010|Glagahombo
33.08.19.2011|Purwodadi
33.08.19.2012|Wonokerto
33.08.19.2013|Dawung
33.08.19.2014|Klopo
33.08.19.2015|Japan
33.08.19.2016|Kebonagung
33.08.19.2017|Ngasem
33.08.19.2018|Girirejo
33.08.19.2019|Ngadirejo
33.08.19.2020|Donorejo
33.08.19.2021|Mangunrejo
33.08.20|Secang
33.08.20.1001|Secang
33.08.20.2002|Madusari
33.08.20.2003|Madyocondro
33.08.20.2004|Ngabean
33.08.20.2005|Krincing
33.08.20.2006|Donorejo
33.08.20.2007|Candisari
33.08.20.2008|Candiretno
33.08.20.2009|Pancuranmas
33.08.20.2010|Jambewangi
33.08.20.2011|Payaman
33.08.20.2012|Kalijoso
33.08.20.2013|Ngadirojo
33.08.20.2014|Karangkajen
33.08.20.2015|Sidomulyo
33.08.20.2016|Pucang
33.08.20.2017|Purwosari
33.08.20.2018|Donomulyo
33.08.20.2019|Girikulon
33.08.20.2020|Pirikan
33.08.21|Windusari
33.08.21.2001|Windusari
33.08.21.2002|Pasangsari
33.08.21.2003|Candisari
33.08.21.2004|Bandarsedayu
33.08.21.2005|Banjarsari
33.08.21.2006|Balesari
33.08.21.2007|Kembangkuning
33.08.21.2008|Tanjungsari
33.08.21.2009|Wonoroto
33.08.21.2010|Genito
33.08.21.2011|Kentengsari
33.08.21.2012|Umbulsari
33.08.21.2013|Semen
33.08.21.2014|Dampit
33.08.21.2015|Girimulyo
33.08.21.2016|Ngemplak
33.08.21.2017|Gunungsari
33.08.21.2018|Kalijoso
33.08.21.2019|Mangunsari
33.08.21.2020|Gondangrejo
33.09|KAB. BOYOLALI
33.09.01|Selo
33.09.01.2001|Tlogolele
33.09.01.2002|Klakah
33.09.01.2003|Jrakah
33.09.01.2004|Lencoh
33.09.01.2005|Suroteleng
33.09.01.2006|Samiran
33.09.01.2007|Selo
33.09.01.2008|Tarubatang
33.09.01.2009|Senden
33.09.01.2010|Jeruk
33.09.02|Ampel
33.09.02.2002|Tanduk
33.09.02.2003|Banyuanyar
33.09.02.2004|Sidomulyo
33.09.02.2005|Ngargosari
33.09.02.2006|Selodoko
33.09.02.2007|Ngenden
33.09.02.2008|Ngampon
33.09.02.2009|Gondangslamet
33.09.02.2010|Candi
33.09.02.2011|Urutsewu
33.09.03|Cepogo
33.09.03.2001|Wonodoyo
33.09.03.2002|Jombong
33.09.03.2003|Gedangan
33.09.03.2004|Sumbung
33.09.03.2005|Paras
33.09.03.2006|Jelok
33.09.03.2007|Bakulan
33.09.03.2008|Candigatak
33.09.03.2009|Cabeankunti
33.09.03.2010|Mliwis
33.09.03.2011|Sukabumi
33.09.03.2012|Genting
33.09.03.2013|Cepogo
33.09.03.2014|Kembangkuning
33.09.03.2015|Gubug
33.09.04|Musuk
33.09.04.2011|Pagerjurang
33.09.04.2012|Sukorejo
33.09.04.2013|Sruni
33.09.04.2014|Cluntang
33.09.04.2015|Kembangsari
33.09.04.2016|Ringinlarik
33.09.04.2017|Kebongulo
33.09.04.2018|Musuk
33.09.04.2019|Sukorame
33.09.04.2020|Pusporenggo
33.09.05|Boyolali
33.09.05.1001|Pulisen
33.09.05.1002|Siwodipuran
33.09.05.1004|Banaran
33.09.05.2003|Karanggeneng
33.09.05.2005|Winong
33.09.05.2006|Penggung
33.09.05.2007|Kiringan
33.09.05.2008|Mudal
33.09.05.2009|Kebonbimo
33.09.06|Mojosongo
33.09.06.1007|Kemiri
33.09.06.1009|Mojosongo
33.09.06.2001|Madu
33.09.06.2002|Singosari
33.09.06.2003|Tambak
33.09.06.2004|Manggis
33.09.06.2005|Jurug
33.09.06.2006|Karangnongko
33.09.06.2008|Butuh
33.09.06.2010|Kragilan
33.09.06.2011|Brajan
33.09.06.2012|Metuk
33.09.06.2013|Dlingo
33.09.07|Teras
33.09.07.2001|Kopen
33.09.07.2002|Doplang
33.09.07.2003|Kadireso
33.09.07.2004|Nepen
33.09.07.2005|Sudimoro
33.09.07.2006|Bangsalan
33.09.07.2007|Salakan
33.09.07.2008|Teras
33.09.07.2009|Randusari
33.09.07.2010|Mojolegi
33.09.07.2011|Gumukrejo
33.09.07.2012|Tawangsari
33.09.07.2013|Krasak
33.09.08|Sawit
33.09.08.2001|Kateguhan
33.09.08.2002|Manjung
33.09.08.2003|Gombang
33.09.08.2004|Tegalrejo
33.09.08.2005|Tlawong
33.09.08.2006|Jenengan
33.09.08.2007|Cepokosawit
33.09.08.2008|Kemasan
33.09.08.2009|Jatirejo
33.09.08.2010|Bendosari
33.09.08.2011|Karangduren
33.09.08.2012|Guwokajen
33.09.09|Banyudono
33.09.09.2001|Dukuh
33.09.09.2002|Jipangan
33.09.09.2003|Jembungan
33.09.09.2004|Sambon
33.09.09.2005|Kuwiran
33.09.09.2006|Cangkringan
33.09.09.2007|Ngaru-aru
33.09.09.2008|Bendan
33.09.09.2009|Ketaon
33.09.09.2010|Banyudono
33.09.09.2011|Batan
33.09.09.2012|Denggungan
33.09.09.2013|Bangak
33.09.09.2014|Trayu
33.09.09.2015|Tanjungsari
33.09.10|Sambi
33.09.10.2001|Canden
33.09.10.2002|Senting
33.09.10.2003|Tempursari
33.09.10.2004|Jatisari
33.09.10.2005|Glintang
33.09.10.2006|Catur
33.09.10.2007|Tawengan
33.09.10.2008|Sambi
33.09.10.2009|Demangan
33.09.10.2010|Kepoh
33.09.10.2011|Jagoan
33.09.10.2012|Babadan
33.09.10.2013|Ngaglik
33.09.10.2014|Trosobo
33.09.10.2015|Cermo
33.09.10.2016|Nglembu
33.09.11|Ngemplak
33.09.11.2001|Ngargorejo
33.09.11.2002|Sobokerto
33.09.11.2003|Ngesrep
33.09.11.2004|Gagaksipat
33.09.11.2005|Donohudan
33.09.11.2006|Sawahan
33.09.11.2007|Pandeyan
33.09.11.2008|Kismoyoso
33.09.11.2009|Dibal
33.09.11.2010|Sindon
33.09.11.2011|Manggung
33.09.11.2012|Giriroto
33.09.12|Nogosari
33.09.12.2001|Kenteng
33.09.12.2002|Potronayan
33.09.12.2003|Sembungan
33.09.12.2004|Jeron
33.09.12.2005|Ketitang
33.09.12.2006|Rembun
33.09.12.2007|Guli
33.09.12.2008|Tegalgiri
33.09.12.2009|Bendo
33.09.12.2010|Keyongan
33.09.12.2011|Pojok
33.09.12.2012|Glonggong
33.09.12.2013|Pulutan
33.09.13|Simo
33.09.13.2001|Pelem
33.09.13.2002|Bendungan
33.09.13.2003|Temon
33.09.13.2004|Teter
33.09.13.2005|Simo
33.09.13.2006|Walen
33.09.13.2007|Pentur
33.09.13.2008|Gunung
33.09.13.2009|Talakbroto
33.09.13.2010|Kedunglengkong
33.09.13.2011|Blagung
33.09.13.2012|Sumber
33.09.13.2013|Wates
33.09.14|Karanggede
33.09.14.2001|Manyaran
33.09.14.2002|Sempulur
33.09.14.2003|Klumpit
33.09.14.2004|Pinggir
33.09.14.2005|Bantengan
33.09.14.2006|Tegalsari
