35|JAWA TIMUR
35.02.17.1001|Paju
35.02.17.1002|Brotonegaran
35.02.17.1003|Pakunden
35.02.17.1004|Kepatihan
35.02.17.1005|Surodikraman
35.02.17.1006|Purbosuman
35.02.17.1007|Tonatan
35.02.17.1008|Bangunsari
35.02.17.1009|Tamanarum
35.02.17.1010|Kauman
35.02.17.1011|Tambakbayan
35.02.17.1012|Pinggirsari
35.02.17.1013|Mangkujayan
35.02.17.1014|Banyudono
35.02.17.1015|Nologaten
35.02.17.1016|Cokromenggalan
35.02.17.1017|Keniten
35.02.17.1018|Jingglong
35.02.17.1019|Beduri
35.02.18|Jenangan
35.02.18.1001|Setono
35.02.18.1002|Singosaren
35.02.18.2003|Mrican
35.02.18.2004|Plalangan
35.02.18.2005|Nglayang
35.02.18.2006|Jenangan
35.02.18.2007|Jimbe
35.02.18.2008|Ngrupit
35.02.18.2009|Pintu
35.02.18.2010|Sedah
35.02.18.2011|Panjeng
35.02.18.2012|Sraten
35.02.18.2013|Semanding
35.02.18.2014|Tanjungsari
35.02.18.2015|Paringan
35.02.18.2016|Wates
35.02.18.2017|Kemiri
35.02.19|Ngebel
35.02.19.2001|Ngrogung
35.02.19.2002|Sahang
35.02.19.2003|Wagir Lor
35.02.19.2004|Talun
35.02.19.2005|Gondowido
35.02.19.2006|Pupus
35.02.19.2007|Ngebel
35.02.19.2008|Sempu
35.02.20|Jambon
35.02.20.2001|Jonggol
35.02.20.2002|Poko
35.02.20.2003|Sendang
35.02.20.2004|Bringinan
35.02.20.2005|Karanglo Kidul
35.02.20.2006|Krebet
35.02.20.2007|Bulu Lor
35.02.20.2008|Jambon
35.02.20.2009|Blembem
35.02.20.2010|Pulosari
35.02.20.2011|Menang
35.02.20.2012|Srandil
35.02.20.2013|Sidoharjo
35.02.21|Pudak
35.02.21.2001|Bareng
35.02.21.2002|Tambang
35.02.21.2003|Krisik
35.02.21.2004|Pudak Wetan
35.02.21.2005|Banjarejo
35.02.21.2006|Pudak Kulon
35.03|KAB. TRENGGALEK
35.03.01|Panggul
35.03.01.2001|Besuki
35.03.01.2002|Terbis
35.03.01.2003|Karangtengah
35.03.01.2004|Wonocoyo
35.03.01.2005|Depok
35.03.01.2006|Kertosono
35.03.01.2007|Gayam
35.03.01.2008|Panggul
35.03.01.2009|Bodag
35.03.01.2010|Tangkil
35.03.01.2011|Nglebeng
35.03.01.2012|Banjar
35.03.01.2013|Ngrencak
35.03.01.2014|Barang
35.03.01.2015|Sawahan
35.03.01.2016|Manggis
35.03.01.2017|Ngrambingan
35.03.02|Munjungan
35.03.02.2001|Ngulungkulon
35.03.02.2002|Sobo
35.03.02.2003|Ngulungwetan
35.03.02.2004|Craken
35.03.02.2005|Masaran
35.03.02.2006|Tawing
35.03.02.2007|Karangturi
35.03.02.2008|Munjungan
35.03.02.2009|Besuki
35.03.02.2010|Bendoroto
35.03.02.2011|Bangun
35.03.03|Pule
35.03.03.2001|Sidomulyo
35.03.03.2002|Puyung
35.03.03.2003|Joho
35.03.03.2004|Kembangan
35.03.03.2005|Pakel
35.03.03.2006|Pule
35.03.03.2007|Tanggaran
35.03.03.2008|Karanganyar
35.03.03.2009|Jombok
35.03.03.2010|Sukokidul
35.03.04|Dongko
35.03.04.2001|Cakul
35.03.04.2002|Siki
35.03.04.2003|Watuagung
35.03.04.2004|Pandean
35.03.04.2005|Petung
35.03.04.2006|Salamwates
35.03.04.2007|Dongko
35.03.04.2008|Sumberbening
35.03.04.2009|Ngerdani
35.03.04.2010|Pringapus
35.03.05|Tugu
35.03.05.2001|Nglinggis
35.03.05.2002|Gading
35.03.05.2003|Duren
35.03.05.2004|Pucanganak
35.03.05.2005|Ngepeh
35.03.05.2006|Jambu
35.03.05.2007|Dermosari
35.03.05.2008|Sukorejo
35.03.05.2009|Tumpuk
35.03.05.2010|Winong
35.03.05.2011|Tegaren
35.03.05.2012|Gondang
35.03.05.2013|Nglongsor
35.03.05.2014|Banaran
35.03.05.2015|Prambon
35.03.06|Karangan
35.03.06.2001|Kayen
35.03.06.2002|Jati
35.03.06.2003|Karangan
35.03.06.2004|Kerjo
35.03.06.2005|Kedungsigit
35.03.06.2006|Salamrejo
35.03.06.2007|Sukowetan
35.03.06.2008|Ngentrong
35.03.06.2009|Sumber
35.03.06.2010|Buluagung
35.03.06.2011|Sumberingin
35.03.06.2012|Jatiprahu
35.03.07|Kampak
35.03.07.2001|Ngadimulyo
35.03.07.2002|Bogoran
35.03.07.2003|Timahan
35.03.07.2004|Bendoagung
35.03.07.2005|Karangrejo
35.03.07.2006|Sugihan
35.03.07.2007|Senden
35.03.08|Watulimo
35.03.08.2001|Karanggandu
35.03.08.2002|Sawahan
35.03.08.2003|Dukuh
35.03.08.2004|Pakel
35.03.08.2005|Margomulyo
35.03.08.2006|Ngembel
35.03.08.2007|Slawe
35.03.08.2008|Gemaharjo
35.03.08.2009|Watulimo
35.03.08.2010|Watuagung
35.03.08.2011|Prigi
35.03.08.2012|Tasikmadu
35.03.09|Bendungan
35.03.09.2001|Masaran
35.03.09.2002|Sengon
35.03.09.2003|Surenlor
35.03.09.2004|Sumurup
35.03.09.2005|Srabah
35.03.09.2006|Dompyong
35.03.09.2007|Depok
35.03.09.2008|Botoputih
35.03.10|Gandusari
35.03.10.2001|Ngrayung
35.03.10.2002|Wonorejo
35.03.10.2003|Sukorejo
35.03.10.2004|Wonoanti
35.03.10.2005|Jajar
35.03.10.2006|Gandusari
35.03.10.2007|Widoro
35.03.10.2008|Karanganyar
35.03.10.2009|Melis
35.03.10.2010|Krandegan
35.03.10.2011|Sukorame
35.03.11|Trenggalek
35.03.11.1002|Tamanan
35.03.11.1003|Ngantru
35.03.11.1005|Kelutan
35.03.11.1006|Surodakan
35.03.11.1007|Sumbergedong
35.03.11.2001|Ngares
35.03.11.2004|Karangsoko
35.03.11.2008|Sambirejo
35.03.11.2009|Sumberdadi
35.03.11.2010|Rejowinangun
35.03.11.2011|Sukosari
35.03.11.2012|Parakan
35.03.11.2013|Dawuhan
35.03.12|Pogalan
35.03.12.2001|Wonocoyo
35.03.12.2002|Ngetal
35.03.12.2003|Ngadirenggo
35.03.12.2004|Pogalan
35.03.12.2005|Ngulangkulon
35.03.12.2006|Bendorejo
35.03.12.2007|Gembleb
35.03.12.2008|Ngadirejo
35.03.12.2009|Ngulanwetan
35.03.12.2010|Kedunglurah
35.03.13|Durenan
35.03.13.2001|Ngadisuko
35.03.13.2002|Gador
35.03.13.2003|Kendalrejo
35.03.13.2004|Semarum
35.03.13.2005|Sumberejo
35.03.13.2006|Durenan
35.03.13.2007|Pakis
35.03.13.2008|Pandean
35.03.13.2009|Panggungsari
35.03.13.2010|Sumbergayam
35.03.13.2011|Kamulan
35.03.13.2012|Malasan
35.03.13.2013|Baruharjo
35.03.13.2014|Karanganom
35.03.14|Suruh
35.03.14.2001|Puru
35.03.14.2002|Wonokerto
35.03.14.2003|Nglebo
35.03.14.2004|Ngrandu
35.03.14.2005|Gamping
35.03.14.2006|Suruh
35.03.14.2007|Mlinjon
35.04|KAB. TULUNGAGUNG
35.04.01|Tulungagung
35.04.01.1001|Kedungsoko
35.04.01.1002|Tertek
35.04.01.1003|Karangwaru
35.04.01.1004|Tamanan
35.04.01.1005|Jepun
35.04.01.1006|Bago
35.04.01.1007|Kepatihan
35.04.01.1008|Kenayan
35.04.01.1009|Kampungdalem
35.04.01.1010|Kauman
35.04.01.1011|Kutoanyar
35.04.01.1012|Sembung
35.04.01.1013|Panggungrejo
35.04.01.1014|Botoran
35.04.02|Boyolangu
35.04.02.2001|Wajak Kidul
35.04.02.2002|Sanggrahan
35.04.02.2003|Pucung Kidul
35.04.02.2004|Boyolangu
35.04.02.2005|Ngranti
35.04.02.2006|Kendalbulur
35.04.02.2007|Bono
35.04.02.2008|Waung
35.04.02.2009|Moyoketen
35.04.02.2010|Wajak Lor
35.04.02.2011|Karangrejo
35.04.02.2012|Kepuh
35.04.02.2013|Tanjungsari
35.04.02.2014|Serut
35.04.02.2015|Beji
35.04.02.2016|Sobontoro
35.04.02.2017|Gedangsewu
35.04.03|Kedungwaru
35.04.03.2001|Plosokandang
35.04.03.2002|Tunggulsari
35.04.03.2003|Ringinpitu
35.04.03.2004|Loderesan
35.04.03.2005|Bulusari
35.04.03.2006|Bangoan
35.04.03.2007|Boro
35.04.03.2008|Tapan
35.04.03.2009|Rejoagung
35.04.03.2010|Kedungwaru
35.04.03.2011|Plandaan
35.04.03.2012|Ketanon
35.04.03.2013|Tawangsari
35.04.03.2014|Mangunsari
35.04.03.2015|Winong
35.04.03.2016|Majan
35.04.03.2017|Simo
35.04.03.2018|Gendingan
35.04.03.2019|Ngujang
35.04.04|Ngantru
35.04.04.2001|Pakel
35.04.04.2002|Pucung Lor
35.04.04.2003|Srikaton
35.04.04.2004|Padangan
35.04.04.2005|Banjarsari
35.04.04.2006|Pulerejo
35.04.04.2007|Bendosari
35.04.04.2008|Ngantru
35.04.04.2009|Mojoagung
35.04.04.2010|Batokan
35.04.04.2011|Kepuhrejo
35.04.04.2012|Pojok
35.04.04.2013|Pinggirsari
35.04.05|Kauman
35.04.05.2001|Bolorejo
35.04.05.2002|Kauman
35.04.05.2003|Balerejo
35.04.05.2004|Batangsaren
35.04.05.2005|Panggungrejo
35.04.05.2006|Kalangbret
35.04.05.2007|Sidorejo
35.04.05.2008|Mojosari
35.04.05.2009|Karanganom
35.04.05.2010|Pucangan
35.04.05.2011|Kates
35.04.05.2012|Banaran
35.04.05.2013|Jatimulyo
35.04.06|Pagerwojo
35.04.06.2001|Wonorejo
35.04.06.2002|Kedungcangkring
35.04.06.2003|Mulyosari
35.04.06.2004|Segawe
35.04.06.2005|Samar
35.04.06.2006|Penjor
35.04.06.2007|Pagerwojo
35.04.06.2008|Kradinan
35.04.06.2009|Sidomulyo
35.04.06.2010|Gondanggunung
35.04.06.2011|Gambiran
35.04.07|Sendang
35.04.07.2001|Kedoyo
35.04.07.2002|Nglutung
35.04.07.2003|Talang
35.04.07.2004|Krosok
35.04.07.2005|Dono
35.04.07.2006|Tugu
35.04.07.2007|Picisan
35.04.07.2008|Nyawangan
35.04.07.2009|Sendang
35.04.07.2010|Nglurup
35.04.07.2011|Geger
35.04.08|Karangrejo
35.04.08.2001|Bungur
35.04.08.2002|Babadan
35.04.08.2003|Sukowiyono
35.04.08.2004|Sembon
35.04.08.2005|Sukowidodo
35.04.08.2006|Tanjungsari
35.04.08.2007|Gedangan
35.04.08.2008|Sukodono
35.04.08.2009|Karangrejo
35.04.08.2010|Sukorejo
35.04.08.2011|Punjul
35.04.08.2012|Jeli
35.04.08.2013|Tulungrejo
35.04.09|Gondang
35.04.09.2001|Kendal
35.04.09.2002|Tawing
35.04.09.2003|Gondosuli
35.04.09.2004|Dukuh
35.04.09.2005|Sepatan
35.04.09.2006|Macanbang
35.04.09.2007|Kiping
35.04.09.2008|Rejosari
35.04.09.2009|Bendo
35.04.09.2010|Ngrendeng
35.04.09.2011|Gondang
35.04.09.2012|Bendungan
35.04.09.2013|Notorejo
35.04.09.2014|Sidem
35.04.09.2015|Sidomulyo
35.04.09.2016|Blendis
35.04.09.2017|Mojoarum
35.04.09.2018|Tiudan
35.04.09.2019|Jarakan
35.04.09.2020|Wonokromo
35.04.10|Sumbergempol
35.04.10.2001|Sambidoplang
35.04.10.2002|Wates
35.04.10.2003|Mirigambar
35.04.10.2004|Trenceng
35.04.10.2005|Bendilwungu
35.04.10.2006|Sambijajar
35.04.10.2007|Podorejo
35.04.10.2008|Doroampel
35.04.10.2009|Junjung
35.04.10.2010|Tambakrejo
35.04.10.2011|Wonorejo
35.04.10.2012|Bendiljati Kulon
35.04.10.2013|Bendiljati Wetan
35.04.10.2014|Sumberdadi
35.04.10.2015|Jabalsari
35.04.10.2016|Sambirobyong
35.04.10.2017|Bukur
35.04.11|Ngunut
35.04.11.2001|Karangsono
35.04.11.2002|Samir
35.04.11.2003|Kacangan
35.04.11.2004|Selorejo
35.04.11.2005|Balesono
35.04.11.2006|Pandansari
35.04.11.2007|Sumberingin Kulon
35.04.11.2008|Sumberingin Kidul
35.04.11.2009|Kaliwungu
35.04.11.2010|Sumberejo Wetan
35.04.11.2011|Ngunut
35.04.11.2012|Kalangan
35.04.11.2013|Gilang
35.04.11.2014|Sumberejo Kulon
35.04.11.2015|Purworejo
35.04.11.2016|Kromasan
35.04.11.2017|Pulosari
35.04.11.2018|Pulotondo
35.04.12|Pucanglaban
35.04.12.2001|Pucanglaban
35.04.12.2002|Kalidawe
35.04.12.2003|Panggungkalak
35.04.12.2004|Kaligentong
35.04.12.2005|Sumberbendo
35.04.12.2006|Manding
35.04.12.2007|Panggunguni
35.04.12.2008|Sumberdadap
35.04.12.2009|Demuk
35.04.13|Rejotangan
35.04.13.2001|Tenggur
35.04.13.2002|Panjerejo
35.04.13.2003|Karangsari
35.04.13.2004|Tugu
35.04.13.2005|Sukorejo Wetan
35.04.13.2006|Jatidowo
35.04.13.2007|Banjarejo
35.04.13.2008|Tanen
35.04.13.2009|Sumberagung
35.04.13.2010|Blimbing
35.04.13.2011|Rejotangan
35.04.13.2012|Pakisrejo
35.04.13.2013|Tegalrejo
35.04.13.2014|Ariyojeding
35.04.13.2015|Tenggong
35.04.13.2016|Buntaran
35.04.14|Kalidawir
35.04.14.2001|Kalibatur
35.04.14.2002|Rejosari
35.04.14.2003|Sukorejo Kulon
35.04.14.2004|Kalidawir
35.04.14.2005|Karangtalun
35.04.14.2006|Banyuurip
35.04.14.2007|Winong
35.04.14.2008|Joho
35.04.14.2009|Pakisaji
35.04.14.2010|Jabon
35.04.14.2011|Tunggangri
35.04.14.2012|Salakkembang
35.04.14.2013|Ngubalan
35.04.14.2014|Domasan
35.04.14.2015|Tanjung
35.04.14.2016|Betak
35.04.14.2017|Pagersari
35.04.15|Besuki
35.04.15.2001|Besole
35.04.15.2002|Tanggulwelahan
35.04.15.2003|Besuki
35.04.15.2004|Keboireng
35.04.15.2005|Tanggulturus
35.04.15.2006|Sedayugunung
35.04.15.2007|Tanggulkundung
35.04.15.2008|Wateskroyo
35.04.15.2009|Sitoyobagus
35.04.15.2010|Tulungrejo
35.04.16|Campurdarat
35.04.16.2001|Ngentrong
35.04.16.2002|Gedangan
35.04.16.2003|Sawo
35.04.16.2004|Gamping
35.04.16.2005|Campurdarat
35.04.16.2006|Wates
35.04.16.2007|Pelem
35.04.16.2008|Pojok
35.04.16.2009|Tanggung
35.04.17|Bandung
35.04.17.2001|Nglampir
35.04.17.2002|Talun Kulon
35.04.17.2003|Bantengan
