12|SUMATERA UTARA
12.01.12.2005|Sigolang
12.01.12.2006|Sosor Gonting
12.01.12.2008|Bondar Sihudon I
12.01.12.2009|Uratan
12.01.12.2010|Ladang Tengah
12.01.12.2011|Lobu Tua
12.01.12.2012|Bondar Sihudon II
12.01.12.2013|Sitiris-Tiris
12.01.12.2014|Sawah Lamo
12.01.13|Sitahuis
12.01.13.1003|Nauli
12.01.13.2001|Bonandolok
12.01.13.2002|Rampa
12.01.13.2004|Mardame
12.01.13.2005|Naga Timbul
12.01.13.2006|Simaninggir
12.01.14|Tukka
12.01.14.1001|Tukka
12.01.14.1002|Bona Lumban
12.01.14.1003|Huta Nabolon
12.01.14.1007|Sipange
12.01.14.1009|Aek Tolang Induk
12.01.14.2004|Sigiring Giring
12.01.14.2005|Tapian Nauli/ Saurmanggita
12.01.14.2006|Sait Kalangan II
12.01.14.2008|Aek Bottar
12.01.15|Badiri
12.01.15.1001|Hutabalang
12.01.15.1002|Lopian
12.01.15.2003|Jago Jago
12.01.15.2004|Aek Horsik
12.01.15.2005|Gunung Kelambu
12.01.15.2006|Kebun Pisang
12.01.15.2007|Lubuk Ampolu
12.01.15.2008|Pagaran Honas
12.01.15.2009|Sitardas
12.01.16|Pasaribu Tobing
12.01.16.2001|Suga Suga Hutagodang
12.01.16.2002|Suka Maju
12.01.16.2003|Makmur
12.01.16.2004|Pasaribu Tobing
12.01.16.2005|Aek Nadua
12.01.16.2006|Simargarap
12.01.16.2007|Sidaling
12.01.16.2008|Sipakpahi
12.01.16.2009|PO Simargarap
12.01.17|Barus Utara
12.01.17.2001|Hutaginjang
12.01.17.2002|Sihorbo
12.01.17.2003|Parik Sinomba
12.01.17.2004|Purba Tua
12.01.17.2005|Pananggahan
12.01.17.2006|Siharbangan
12.01.18|Suka Bangun
12.01.18.2001|Pulo Pakkat
12.01.18.2002|Tebing Tinggi
12.01.18.2003|Pulo Pakkat II
12.01.18.2004|Janji Maria
12.01.18.2005|Sihadatuon
12.01.18.2006|Sihapas
12.01.19|Lumut
12.01.19.1001|Lumut
12.01.19.2002|Aek Gambir
12.01.19.2003|Masundung
12.01.19.2005|Lumut Nauli
12.01.19.2006|Lumut Maju
12.01.19.2007|Sialogo
12.01.20|Sarudik
12.01.20.1001|Sibuluan Nalambok
12.01.20.1002|Sarudik
12.01.20.1004|Pasir Bidang
12.01.20.1005|Pondok Batu
12.01.20.2003|Sipan
12.02|KAB. TAPANULI UTARA
12.02.01|Tarutung
12.02.01.1001|Partoli Toruan
12.02.01.1002|Hutatoruan V
12.02.01.1003|Hutatoruan VI
12.02.01.1004|Hutatoruan VII
12.02.01.1005|Hutatoruan IX
12.02.01.1006|Hutatoruan X
12.02.01.1007|Hutatoruan XI
12.02.01.2008|Parbubu I
12.02.01.2009|Parbubu II
12.02.01.2010|Hutapea Banuarea
12.02.01.2011|Siandor-andor
12.02.01.2012|Hutauruk
12.02.01.2013|Hapoltahan
12.02.01.2014|Parbubu Dolok
12.02.01.2015|Aek Siansimun
12.02.01.2016|Htgalung Siwaluompo
12.02.01.2017|Parbubu Pea
12.02.01.2018|Hutatoruan IV
12.02.01.2019|Sosunggulon
12.02.01.2020|Hutatoruan VIII
12.02.01.2021|Simamora
12.02.01.2022|Parbaju Toruan
12.02.01.2023|Parbaju Julu
12.02.01.2024|Parbaju Tonga
12.02.01.2025|Sitampurung
12.02.01.2026|Siraja Oloan
12.02.01.2027|Jambur Nauli
12.02.01.2028|Sihujur
12.02.01.2029|Partali Julu
12.02.01.2030|Hutatoruan I
12.02.01.2031|Hutatoruan III
12.02.02|Siatas Barita
12.02.02.2001|Siraja Hutagalung
12.02.02.2002|Pansur Napitu
12.02.02.2003|Simanampang
12.02.02.2004|Sidagal
12.02.02.2005|Simarakir Julu
12.02.02.2006|Enda Portibi
12.02.02.2007|Simorangkir Habinsaran
12.02.02.2008|Sangkaran
12.02.02.2009|Lumban Siagian Jae
12.02.02.2010|Lumban Siagian Julu
12.02.02.2011|Sitompul
12.02.02.2012|Lobu Hole
12.02.03|Adian Koting
12.02.03.2001|Dolok Nauli
12.02.03.2002|Pansurbatu
12.02.03.2003|Pardomuan Nauli
12.02.03.2004|Siantar Naipospos
12.02.03.2005|Sibalanga
12.02.03.2006|Pagaran Lambung III
12.02.03.2007|Pagaran Lambung IV
12.02.03.2008|Adian Koting
12.02.03.2009|Pangaran Pisang
12.02.03.2010|Banuaji IV
12.02.03.2011|Banuaji I
12.02.03.2012|Banuaji II
12.02.03.2013|Pangaran Lambung I
12.02.03.2014|Pangaran Lambung II
12.02.03.2015|Pansurbatu I
12.02.03.2016|Pansurbatu II
12.02.04|Sipoholon
12.02.04.1001|Situmeang Habinsaran
12.02.04.2002|Hutauruk
12.02.04.2003|Simanungkalit
12.02.04.2004|Situmeang Hasundutan
12.02.04.2005|Sipahutar
12.02.04.2007|Tapian Nauli
12.02.04.2008|Huta Raja
12.02.04.2009|Lobu Singkam
12.02.04.2010|Rura Julu Dolok
12.02.04.2011|Rura Julu Toruan
12.02.04.2012|Hutaraja Hasundutan
12.02.04.2013|Pagarbatu
12.02.04.2014|Hutaraja Simanungkalit
12.02.04.2015|Hutauruk Hasundutan
12.02.05|Pahae Julu
12.02.05.1001|Onan Hasang
12.02.05.2002|Simasom
12.02.05.2003|Janji Natogu
12.02.05.2004|Pagur Dotan
12.02.05.2005|Sibaganding
12.02.05.2006|Lumban Garaga
12.02.05.2007|Sitolu Ama
12.02.05.2008|Lumban Tonga
12.02.05.2009|Lumban Dolok
12.02.05.2010|Simataniari
12.02.05.2011|Lumban Jaean
12.02.05.2012|Huta Barat
12.02.05.2013|Lontung Dolok
12.02.05.2014|Simanampang
12.02.05.2015|Lobu Pining
12.02.05.2016|Pantis
12.02.05.2017|Lumban Gaol
12.02.05.2018|Simardangiang
12.02.05.2019|Simasom Toruan
12.02.06|Pahae Jae
12.02.06.1001|Sarulla
12.02.06.2002|Tordolok Nauli
12.02.06.2003|Sigurung-gurung
12.02.06.2004|Silangkitang
12.02.06.2005|Sitoluompu
12.02.06.2006|Siopat Bahal
12.02.06.2007|Pardomuan Nainggolan
12.02.06.2008|Nahornop Marsada
12.02.06.2009|Parsaoran Samosir
12.02.06.2010|Suka Maju
12.02.06.2011|Setia
12.02.06.2012|Parsaoran Nainggolan
12.02.06.2013|PardameanNainggolan
12.02.07|Simangumban
12.02.07.2001|Silosung
12.02.07.2002|Dolok Sanggul
12.02.07.2003|Simangumban Jae
12.02.07.2004|Aek Nabara
12.02.07.2005|Dolok Saut
12.02.07.2006|Simangumban Julu
12.02.07.2007|Lobu Sihim
12.02.07.2008|Pardomuan
12.02.08|Purba Tua
12.02.08.2001|Sidua Bahal
12.02.08.2002|Sibulan Bulan
12.02.08.2003|Bonani Dolok
12.02.08.2004|Pardomuan J. Angkola
12.02.08.2005|Hutanagodang
12.02.08.2006|Robean
12.02.08.2007|Janji Nauli
12.02.08.2008|Selamat
12.02.08.2009|Purba Tua
12.02.08.2010|Sitolu Bahal
12.02.08.2011|Parsaoran J. Angkola
12.02.09|Siborong-Borong
12.02.09.1001|Psr Siborong Borong
12.02.09.2002|Siborong Borong I
12.02.09.2003|Siborong Borong II
12.02.09.2004|Sitampurung
12.02.09.2005|Sitabotabo
12.02.09.2006|Bahal Batu I
12.02.09.2007|Bahal Batu II
12.02.09.2008|Bahal Batu III
12.02.09.2009|Lobu Siregar I
12.02.09.2010|Lobu Siregar II
12.02.09.2011|Pohan Julu
12.02.09.2012|Pohan Tonga
12.02.09.2013|Pohan Jae
12.02.09.2014|Paniaran
12.02.09.2015|Parik Sabungan
12.02.09.2016|Hutabulu
12.02.09.2017|Lumban Tonga Tonga
12.02.09.2018|Sigumbang
12.02.09.2019|Siaro
12.02.09.2020|Silait-Lait
12.02.09.2021|Sitabotabo Toruan
12.02.10|Pagaran
12.02.10.2001|Simamora Hasibuan
12.02.10.2002|Lumban Julu
12.02.10.2003|Pagaran
12.02.10.2004|Sibaragas
12.02.10.2005|Sipultak
12.02.10.2006|Lubis
12.02.10.2007|Banualuhu
12.02.10.2008|Parhorboan
12.02.10.2009|Lumban Motung
12.02.10.2010|Lumban Ina Ina
12.02.10.2011|Doloksaribu
12.02.10.2012|Lumban Silintong
12.02.10.2013|Sipultak Dolok
12.02.10.2014|Hasibuan
12.02.11|Parmonangan
12.02.11.2001|Manalu
12.02.11.2002|Manalu Purba
12.02.11.2003|Manalu Dolok
12.02.11.2004|Hutajulu
12.02.11.2005|Aek Raja
12.02.11.2006|Hutatinggi
12.02.11.2007|Lobusunut
12.02.11.2008|Sisordak
12.02.11.2009|Pertengahan
12.02.11.2010|Hutatua
12.02.11.2011|Hutajulu Parbalik
12.02.11.2012|Horisan Ranggitgit
12.02.11.2013|Purba Dolok
12.02.11.2014|Batuarimo
12.02.12|Sipahutar
12.02.12.2001|Sabungannihuta IV
12.02.12.2002|Sabungannihuta I
12.02.12.2003|Sipahutar I
12.02.12.2004|Sipahutar II
12.02.12.2005|Sipahutar III
12.02.12.2006|Onan Runggu I
12.02.12.2007|Tapian Nauli III
12.02.12.2008|Onan Runggu III
12.02.12.2009|Siabal-abal III
12.02.12.2010|Siabal-abal I
12.02.12.2011|Aek Nauli II
12.02.12.2012|Tapian Nauli II
12.02.12.2013|Sabungannihuta III
12.02.12.2014|Onan Runggu IV
12.02.12.2015|Siabal-abal II
12.02.12.2016|Aek Nauli I
12.02.12.2017|Aek Nauli III
12.02.12.2018|Onan Runggu II
12.02.12.2019|Tapian Nauli I
12.02.12.2020|Sabungannihuta II
12.02.12.2021|Sabungannihuta V
12.02.12.2022|Siabal-abal IV
12.02.12.2023|Aek Nauli IV
12.02.12.2024|Siabal-abal V
12.02.12.2025|Siabal-abal VI
12.02.13|Pangaribuan
12.02.13.2001|Pakpahan
12.02.13.2002|Sampagul
12.02.13.2003|Godung Borotan
12.02.13.2004|Parratusan
12.02.13.2005|Lumban Siregar
12.02.13.2006|Sigotom Julu
12.02.13.2007|Rahut Bosi
12.02.13.2008|Batu Nadua
12.02.13.2009|Silantom Tonga
12.02.13.2010|Silantom Julu
12.02.13.2011|Pansurnatolu
12.02.13.2012|Parlombuan
12.02.13.2013|Purbatua
12.02.13.2014|Lumban SinagaSimatupang
12.02.13.2015|Batumanumpak
12.02.13.2016|Sibingke
12.02.13.2017|Najumambe
12.02.13.2018|Parsibarungan
12.02.13.2019|Harianja
12.02.13.2020|Silantom Jae
12.02.13.2021|Padang Parsadaan
12.02.13.2022|Parsorminan I
12.02.13.2023|Hutaraja
12.02.13.2024|Rahut Bosi Onan
12.02.13.2025|Sigotom Timur
12.02.13.2026|Sigotom Dolok Nauli
12.02.14|Garoga
12.02.14.2001|Garoga Sibargot
12.02.14.2002|Lontung Jae I
12.02.14.2003|Parsosoran
12.02.14.2004|Padang Siandomang
12.02.14.2005|Sibaganding
12.02.14.2006|Sirmpang Bolon
12.02.14.2007|Gonting Garoga
12.02.14.2008|Lontung Jae II
12.02.14.2009|Gonting Salak
12.02.14.2010|Sibalanga
12.02.14.2011|Aek Tangga
12.02.14.2012|Parinsoran
12.02.14.2013|Parmanuhan
12.02.15|Muara
12.02.15.2001|Hutanagodang
12.02.15.2002|Unte Mungkur
12.02.15.2003|Hutalontung
12.02.15.2004|Hutaginjang
12.02.15.2005|Dolok Matumbur
12.02.15.2006|Mariba Ni Aek
12.02.15.2007|Sampuran
12.02.15.2008|Silando
12.02.15.2009|Sibandang
12.02.15.2010|Simatupang
12.02.15.2011|Silali Toruan
12.02.15.2012|Batubinumbun
12.02.15.2013|Sitanggor
12.02.15.2014|Papande
12.02.15.2015|Aritonang
12.03|KAB. TAPANULI SELATAN
12.03.01|Angkola Barat
12.03.01.1001|Sitinjak
12.03.01.1003|Simatorkis Sisoma
12.03.01.2002|Panobasan
12.03.01.2004|Siuhom
12.03.01.2005|Sigumuru
12.03.01.2006|Sibangkua
12.03.01.2007|Sisundung
12.03.01.2008|Aek Nabara
12.03.01.2011|Parsalakan
12.03.01.2015|Sitaratoit
12.03.01.2016|Sialogo
12.03.01.2024|Lembah Lubuk Raya
12.03.01.2031|Lobu Layan Sigordang
12.03.01.2035|Panobasan Lombang
12.03.02|Batang Toru
12.03.02.1001|Wek I
12.03.02.1002|Wek II
12.03.02.1011|Perkebunan Batang Toru
12.03.02.1030|Padang Lancat
12.03.02.1032|Aek Pining
12.03.02.2003|Garoga
12.03.02.2004|Huta Godang
12.03.02.2005|Batu Horing
12.03.02.2008|Batu Hula
12.03.02.2009|Sumuran
12.03.02.2015|Napa
12.03.02.2016|Wek IV
12.03.02.2017|Hapesong Baru
12.03.02.2018|Telo
12.03.02.2019|Wek III
12.03.02.2020|Perkebunan Sigala-Gala
12.03.02.2021|Perkebunan Hapesong
12.03.02.2022|Hapesong Lama
12.03.02.2023|Sipenggeng
12.03.02.2025|Sianggunan
12.03.02.2026|Huta Baru
12.03.02.2036|Aek Ngadol Sitinjak
12.03.02.2037|Sisipa
12.03.03|Angkola Timur
12.03.03.1098|Pasar Pargarutan
12.03.03.1099|Batang Tura Sirumambe
12.03.03.2003|Panompuan Jae
12.03.03.2004|Pargarutan Tonga
12.03.03.2008|Huraba
12.03.03.2012|Marisi
12.03.03.2013|Pargarutan Julu
12.03.03.2014|Huta Ginjang
12.03.03.2069|Lantosan Rogas
12.03.03.2079|Sijungkang
12.03.03.2083|Pargarutan Jae
12.03.03.2094|Panompuan
12.03.03.2095|Pargarutan Dolok
12.03.03.2096|Sanggapati
12.03.03.2097|Pall XI
12.03.04|Sipirok
12.03.04.1001|Pasar Sipirok
12.03.04.1003|Hutasuhut
12.03.04.1004|Baringin
12.03.04.1005|Bunga Bondar
12.03.04.1061|Parau Sorat
12.03.04.1114|Sipirok Godang
12.03.04.2010|Bagas Lombang
12.03.04.2017|Batu Satail
12.03.04.2025|Hasang Marsada
12.03.04.2034|Janji Mauli
12.03.04.2048|Paran Julu
12.03.04.2051|Pangaribuan
12.03.04.2052|Pargarutan
12.03.04.2054|Panaungan
12.03.04.2059|Padang Bujur
12.03.04.2060|Paran Padang
12.03.04.2064|Pangurabaan
12.03.04.2068|Ramba Sihasur
12.03.04.2069|Tolang
12.03.04.2072|Sampean
12.03.04.2075|Simaninggir
12.03.04.2076|Sibadoar
12.03.04.2085|Sialagundi
12.03.04.2096|Bulu Mario
12.03.04.2097|Barnang Koling
12.03.04.2101|Dolok Sordang Julu
12.03.04.2102|Situmba Julu
12.03.04.2103|Situmba
12.03.04.2104|Kilang Papan
12.03.04.2105|Sialaman
12.03.04.2106|Paran Dolok Mardomu
12.03.04.2107|Batang Tura Julu
12.03.04.2108|Batang Tura
12.03.04.2109|Dolok Sordang
12.03.04.2110|Pahae Aek Sagala
12.03.04.2111|Marsada
12.03.04.2112|Luat Lombang
12.03.04.2113|Aek Batang Paya
12.03.04.2115|Saba Batang Miha
12.03.04.2116|Sarogodung
12.03.05|Saipar Dolok Hole
12.03.05.1001|Pasar Sipagimbar
12.03.05.1080|Aek Simotung
12.03.05.2018|Simangambat
12.03.05.2069|Sidapdap Simanosor
12.03.05.2070|Saut Banua Simanosor
12.03.05.2071|Damparan Haunatas
12.03.05.2072|Somba Debata Purba
12.03.05.2073|Padang Mandailing Garugur
12.03.05.2074|Ulu Mamis Situnggaling
12.03.05.2075|Parau Sorat Sitabo-tabo
12.03.05.2076|Pintu Padang Mandalasena
12.03.05.2077|Sunge Sigiring-giring
12.03.05.2078|Silangkitang Tambiski
12.03.05.2079|Batang Parsuluman
12.03.06|Angkola Selatan
12.03.06.1001|Simarpinggan
12.03.06.1007|Napa
12.03.06.1014|Tapian Nauli
12.03.06.1019|Pardomuan
12.03.06.2004|Situmbaga
12.03.06.2005|Sinyior
12.03.06.2006|Pintu Padang
12.03.06.2008|Sibong-bong
12.03.06.2009|Siamporik Dolok
12.03.06.2010|Siamporik Lombang
12.03.06.2011|Sihopur
12.03.06.2012|Tandihat
12.03.06.2013|Perkebunan Marpinggan
12.03.06.2015|Aek Natas
12.03.06.2016|Dolok Godang
12.03.06.2017|Sihuik-huik
12.03.06.2018|Gunung Baringin
12.03.07|Batang Angkola
12.03.07.1001|Sigalangan
12.03.07.1060|Pintu Padang I
12.03.07.1061|Pintu Padang II
12.03.07.1068|Bangun Purba
12.03.07.2005|Aek Nauli
12.03.07.2016|Sidadi I
12.03.07.2018|Janji Manaon
12.03.07.2020|Sitampa Simatoras
12.03.07.2021|Pasar Lama
12.03.07.2027|Benteng Huraba
12.03.07.2029|Padang Kahombu
12.03.07.2030|Sorik
12.03.07.2045|Sibulele Muara
12.03.07.2047|Bargot Topong
12.03.07.2053|Sigulang Losung
12.03.07.2055|Hurase
12.03.07.2057|Sorimadingin PP
12.03.07.2058|Huta Padang
12.03.07.2062|Tahalak Ujung Gading
12.03.07.2063|Sidadi II
12.03.07.2067|Aek Gunung
12.03.14|Arse
12.03.14.1039|Arse
12.03.14.1040|Lancat
12.03.14.2028|Sipogu
12.03.14.2032|Pinagar
12.03.14.2033|Pardomuan
12.03.14.2034|Aek Haminjon
12.03.14.2035|Nanggar Jati Huta Padang
12.03.14.2036|Nanggar Jati
12.03.14.2037|Natambang Roncitan
12.03.14.2038|Dalihan Natolu
12.03.20|Marancar
12.03.20.1004|Pasar Sempurna
12.03.20.2002|Huraba
12.03.20.2014|Gunung Binanga
12.03.20.2015|Marancar Godang
12.03.20.2016|Simaninggir
12.03.20.2023|Sugi
12.03.20.2028|Haunatas
12.03.20.2032|Aek Nabara
12.03.20.2033|Gapuk Tua
12.03.20.2034|Marancar Julu
12.03.20.2035|Aek Sabaon
12.03.20.2036|Tanjung Dolok
12.03.21|Sayur Matinggi
12.03.21.1063|Sayur Matinggi
12.03.21.2003|Janji Mauli Baringin
12.03.21.2004|Mondang
12.03.21.2005|Sialang
12.03.21.2006|Sipange Julu
12.03.21.2007|Sipange Godang
12.03.21.2008|Tolang Julu
12.03.21.2009|Tolang Jae
12.03.21.2012|Bange
12.03.21.2013|Bulu Gading
12.03.21.2018|Aek Libung
12.03.21.2023|Aek Badak Jae
12.03.21.2024|Aek Badak Julu
12.03.21.2026|Huta Pardomuan
12.03.21.2056|Sipange Siunjam
12.03.21.2057|Silaiya
12.03.21.2058|Somanggal Parmonangan
12.03.21.2059|Lumban Huayan
12.03.21.2062|Silaiya Tanjung Leuk
12.03.22|Aek Bilah
12.03.22.2003|Sigolang
12.03.22.2005|Biru
12.03.22.2008|Tapus Godang
12.03.22.2017|Lobu Tayas
12.03.22.2020|Silangkitang
12.03.22.2033|Sihulambu
12.03.22.2043|Tolang
12.03.22.2044|Tapus Sipagabu
12.03.22.2045|Huta baru
12.03.22.2046|Aek Latong
12.03.22.2047|Aek Urat
12.03.22.2048|Gorahut
12.03.29|Muara Batang Toru
12.03.29.1002|Hutaraja
12.03.29.1008|Muara Manompas
12.03.29.1009|Muara Ampolu
12.03.29.2001|Bandar Hapinis
12.03.29.2003|Pardamean
12.03.29.2004|Tarapung Raya
12.03.29.2007|Muara Opu
12.03.29.2010|Simarlelan
12.03.29.2011|Muara Huta Raja
12.03.30|Tano Tombangan Angkola
12.03.30.1001|Panabari Hutatonga
12.03.30.2002|Aek Uncim
12.03.30.2003|Panindoan
12.03.30.2004|Aek Kahombu
12.03.30.2005|Batu Horpak
12.03.30.2006|Situmba
12.03.30.2007|Purba Tua
12.03.30.2008|Lumban Jabi-jabi
12.03.30.2009|Ingul Jae
12.03.30.2010|Sisoma
12.03.30.2011|Lumban Ratus
12.03.30.2012|Kota Tua
12.03.30.2013|Simaninggir Tano Tombangan
12.03.30.2014|Huta Raja
12.03.30.2015|Harean
12.03.30.2016|Aek Parupuk
12.03.30.2017|Tanjung Medan
12.03.31|Angkola Sangkunur
12.03.31.1001|Sangkunur
12.03.31.1002|Rianiate
12.03.31.2003|Simatohir
12.03.31.2004|Perkebunan
12.03.31.2005|Bandar Tarutung
12.03.31.2006|Aek Pardomuan
12.03.31.2007|Tindoan Laut
12.03.31.2008|Simataniari
12.03.31.2009|Batu Godang
12.03.31.2010|Malombu
12.03.32|Angkola Muara Tais
12.03.32.1001|Bintuju
12.03.32.1002|Huta Tonga
12.03.32.2009|Janji Mauli MT
12.03.32.2008|Muara Tais III
12.03.32.2006|Muara Tais I
12.03.32.2007|Muara Tais II
12.03.32.2005|Huta Holbung
12.03.32.2004|Sipangko
12.03.32.2003|Basilam Baru
12.03.32.2015|Tatengger
12.03.32.2012|Pasir Matogu
12.03.32.2014|Muara Purba Nauli
12.03.32.2013|Sori Manoan
12.03.32.2011|Pangaribuan
12.03.32.2010|Pargumbangan
12.04|KAB. NIAS
12.04.05|Hiliduho
12.04.05.2001|Ononamolo I Bot
12.04.05.2021|Dima
12.04.05.2022|Sinarikhi
12.04.05.2023|Ombolata Salo'o
12.04.05.2024|Sisobalauru
12.04.05.2025|Tuhegafoa II
12.04.05.2027|Fadoro Lauru
12.04.05.2028|Lasara Tanose'o
12.04.05.2030|Hiliduho
12.04.05.2031|Hiligodu Tanoseo
12.04.05.2032|Sisobahili I Tanoseo
12.04.05.2033|Onozitolidulu
12.04.05.2034|Mazingo Tanose'o
12.04.05.2040|Onowaembo Hiligara
12.04.05.2041|Silimabanua
12.04.05.2042|Ombolata Sisarahili
12.04.06|Gido
12.04.06.2006|Hiliotalua
12.04.06.2008|Akhelauwe
12.04.06.2016|Hilisebua
12.04.06.2017|Somi
12.04.06.2018|Sirete
12.04.06.2019|Heliweto Gido
12.04.06.2020|Loloana'a Gido
12.04.06.2022|Sisobahili
12.04.06.2023|Lahemo
12.04.06.2024|Ladea
12.04.06.2027|Umbu
12.04.06.2028|Soewe
12.04.06.2029|Lolozasai
12.04.06.2030|Lazara Idanoi
12.04.06.2050|Lasela
12.04.06.2051|Ladea Orahua
12.04.06.2052|Tulumbaho Salo'o
12.04.06.2053|Nifolo'o Lauru
12.04.06.2054|Hilizoi
12.04.06.2055|Somi Botogo'o
12.04.06.2056|Olindrawa Sisarahili
12.04.10|Idanogawo
12.04.10.2005|Hilimoasio
12.04.10.2006|Tetegeona'ai
12.04.10.2007|Laowo Hilimbaruzo
12.04.10.2008|Hililawae
12.04.10.2009|Tuhewaebu
12.04.10.2014|Sisobahili Iraono Hura
12.04.10.2015|Bozihona
