13|SUMATERA BARAT
13.01.11.2008|Ampang Tulak Tapan
13.01.11.2009|Tanjung Pondok Tapan
13.01.11.2010|Batang Betung Tapan
13.01.11.2016|Bukit Buai Tapan
13.01.11.2017|Riak Danau Tapan
13.01.11.2018|Koto Anau Tapan
13.01.11.2019|Dusun Baru Tapan
13.01.12|IV Nagari Bayang Utara
13.01.12.2001|Puluik-Puluik
13.01.12.2002|Koto Ranah
13.01.12.2003|Muaro Aie
13.01.12.2004|Pancuang Taba
13.01.12.2005|Puluik-Puluik Selatan
13.01.12.2006|Limau Gadang Pancung Taba
13.01.13|Airpura
13.01.13.2001|Inderapura Utara
13.01.13.2002|Muara Inderapura
13.01.13.2003|Damar Lapan Batang Inderapura
13.01.13.2004|Lalang Panjang Inderapura
13.01.13.2005|Palokan Inderapura
13.01.13.2006|Lubuk Betung Inderapura
13.01.13.2007|Tluk Kualo Inderapura
13.01.13.2008|Tanah Bakali Inderapura
13.01.13.2009|Inderapura Timur
13.01.13.2010|Pulau Rajo Inderapura
13.01.14|Ranah Ampek Hulu Tapan
13.01.14.2001|Sungai Gambir Sako Tapan
13.01.14.2002|Limau Purut Tapan
13.01.14.2003|Talang Balarik Tapan
13.01.14.2004|Tebing Tinggi Tapan
13.01.14.2005|Binjai Tapan
13.01.14.2006|Sungai Pinang Tapan
13.01.14.2007|Talang Koto Pulai Tapan
13.01.14.2008|Kampung Tengah Tapan
13.01.14.2009|Kubu Tapan
13.01.14.2010|Simpang Gunung Tapan
13.01.15|Silaut
13.01.15.2001|Silaut
13.01.15.2002|Sungai Sirah
13.01.15.2003|Sungai Sarik
13.01.15.2004|Sungai Pulai
13.01.15.2005|Pasir Binjai
13.01.15.2006|Talang Binjai
13.01.15.2007|Durian Seribu
13.01.15.2008|Lubuk Bunta
13.01.15.2009|Air Hitam
13.01.15.2010|Sambungo
13.02|KAB. SOLOK
13.02.03|Pantai Cermin
13.02.03.2001|Lolo
13.02.03.2002|Surian
13.02.04|Lembah Gumanti
13.02.04.2001|Alahan Panjang
13.02.04.2002|Sungai Nanam
13.02.04.2003|Salimpat
13.02.04.2004|Aie Dingin
13.02.05|Payung Sekaki
13.02.05.2001|Supayang
13.02.05.2002|Sirukam
13.02.05.2003|Aie Luo
13.02.06|Lembang Jaya
13.02.06.2001|Batu Banyak
13.02.06.2002|Batu Bajanjang
13.02.06.2003|Koto Laweh
13.02.06.2004|Limau Lunggo
13.02.06.2005|Koto Gadang Koto Anau
13.02.06.2006|Selayo Tanang B. Sileh
13.02.07|Gunung Talang
13.02.07.2001|Cupak
13.02.07.2002|Talang
13.02.07.2003|Koto Gadang Guguak
13.02.07.2004|Jawi Jawi
13.02.07.2005|Sungai Janiah
13.02.07.2006|Batang Barus
13.02.07.2007|Aie Batumbuak
13.02.07.2008|Koto Gaek Guguk
13.02.08|Bukit Sundi
13.02.08.2001|Muaro Paneh
13.02.08.2002|Kinari
13.02.08.2003|Bukit Tandang
13.02.08.2004|Parambahan
13.02.08.2005|Dilam
13.02.09|IX Koto Sungai Lasi
13.02.09.2001|Taruang-Taruang
13.02.09.2002|Siaro-Aro
13.02.09.2003|Pianggu
13.02.09.2004|Sungai Durian
13.02.09.2005|Bukik Bais
13.02.09.2006|Sungai Jambur
13.02.09.2007|Guguak Sarai
13.02.09.2008|Koto Laweh
13.02.09.2009|Indudur
13.02.10|Kubung
13.02.10.2001|Koto Baru
13.02.10.2002|Selayo
13.02.10.2003|Panyakalan
13.02.10.2004|Gaung
13.02.10.2005|Gantuang Ciri
13.02.10.2006|Saok Laweh
13.02.10.2007|Koto Hilalang
13.02.10.2008|Tanjung Bingkung
13.02.11|X Koto Singkarak
13.02.11.2001|Sumani
13.02.11.2002|Tikalak
13.02.11.2003|Koto Sani
13.02.11.2004|Singkarak
13.02.11.2005|Aripan
13.02.11.2006|Kacang
13.02.11.2007|Tanjung Alai
13.02.11.2008|Saniangbaka
13.02.12|X Koto Diatas
13.02.12.2001|Sulit Air
13.02.12.2002|Tanjung Balik
13.02.12.2003|Paninjauan
13.02.12.2004|Kuncir
13.02.12.2005|Katialo
13.02.12.2006|Pasilihan
13.02.12.2007|Bukit Kanduang
13.02.12.2008|Sibarambang
13.02.12.2009|Labuh Panjang
13.02.13|Junjung Sirih
13.02.13.2001|Paninggahan
13.02.13.2002|Muaro Pingai
13.02.17|Hiliran Gumanti
13.02.17.2001|Talang Babungo
13.02.17.2002|Sariak Alahan Tigo
13.02.17.2003|Sungai Abu
13.02.18|Tigo Lurah
13.02.18.2001|Rangkiang Luluih
13.02.18.2002|Batu Bajanjang
13.02.18.2003|Garabak Data
13.02.18.2004|Tanjung Balik Sumiso
13.02.18.2005|Simanau
13.02.19|Danau Kembar
13.02.19.2001|Simpang Tj. Nan IV
13.02.19.2002|Kampung Batu Dalam
13.03|KAB. SIJUNJUNG
13.03.03|Tanjung Gadang
13.03.03.2001|Timbulun
13.03.03.2002|Tanjung Gadang
13.03.03.2003|Taratak Baru
13.03.03.2004|Pulasan
13.03.03.2005|Langki
13.03.03.2006|Sibakur
13.03.03.2007|Tanjung Lolo
13.03.03.2008|Taratak Baru Utara
13.03.03.2009|Sinyamu
13.03.04|Sijunjung
13.03.04.2001|Muaro
13.03.04.2002|Kandang Baru
13.03.04.2003|Silokek
13.03.04.2004|Pematang Panjang
13.03.04.2005|Solok Ambah
13.03.04.2006|Paru
13.03.04.2007|Durian Gadang
13.03.04.2008|Aie Angek
13.03.04.2009|Sijunjung
13.03.05|IV Nagari
13.03.05.2001|Palangki
13.03.05.2002|Koto Baru
13.03.05.2003|Muaro Bodi
13.03.05.2004|Mundam Sakti
13.03.05.2005|Koto Tuo
13.03.06|Kamang Baru
13.03.06.2001|Sungai Lansek
13.03.06.2002|Kamang
13.03.06.2003|Muaro Takuang
13.03.06.2004|Aia Amo
13.03.06.2005|Sungai Batuang
13.03.06.2006|Kunangan Parik Rantang
13.03.06.2007|Tanjung Kaliang
13.03.06.2008|Padang Tarok
13.03.06.2009|Siaur
13.03.06.2010|Lubuk Tarantang
13.03.06.2011|Maloro
13.03.07|Lubuak Tarok
13.03.07.2001|Lubuak Tarok
13.03.07.2002|Lalan
13.03.07.2003|Buluah Kasok
13.03.07.2004|Kampung Dalam
13.03.07.2005|Silongo
13.03.07.2006|Latang
13.03.08|Koto VII
13.03.08.2001|Limo Koto
13.03.08.2002|Palaluar
13.03.08.2003|Guguak
13.03.08.2004|Padang Laweh
13.03.08.2005|Tanjung
13.03.08.2006|Bukit Bual
13.03.09|Sumpur Kudus
13.03.09.2001|Silantai
13.03.09.2002|Sisawah
13.03.09.2003|Unggan
13.03.09.2004|Tanjung Bonai Aur
13.03.09.2005|Sumpur Kudus
13.03.09.2006|Tamparungo
13.03.09.2007|Kumanis
13.03.09.2008|Mangganti
13.03.09.2009|Sumpur Kudus Selatan
13.03.09.2010|Tanjung Labuah
13.03.09.2011|Tanjung Bonai Aur Selatan
13.03.10|Kupitan
13.03.10.2001|Batu Manjulur
13.03.10.2002|Pamuatan
13.03.10.2003|Padang Sibusuk
13.03.10.2004|Desa Kampung Baru
13.04|KAB. TANAH DATAR
13.04.01|X Koto
13.04.01.2001|Tambangan
13.04.01.2002|Jaho
13.04.01.2003|Singgalang
13.04.01.2004|Paninjauan
13.04.01.2005|Panyalaian
13.04.01.2006|Koto Laweh
13.04.01.2007|Aia Angek
13.04.01.2008|Pandai Sikek
13.04.01.2009|Koto Baru
13.04.02|Batipuh
13.04.02.2001|Andaleh
13.04.02.2002|Sabu
13.04.02.2003|Batipuh Ateh
13.04.02.2004|Batipuh Baruh
13.04.02.2005|Gunung Rajo
13.04.02.2006|Pitalah
13.04.02.2007|Tanjung Barulak
13.04.02.2008|Bungo Tanjung
13.04.03|Rambatan
13.04.03.2001|Simawang
13.04.03.2002|Balimbing
13.04.03.2003|III Koto
13.04.03.2004|Padang Magek
13.04.03.2005|Rambatan
13.04.04|Lima Kaum
13.04.04.2001|Baringin
13.04.04.2002|Limo Kaum
13.04.04.2003|Parambahan
13.04.04.2004|Cubadak
13.04.04.2005|Labuah
13.04.05|Tanjung Emas
13.04.05.2001|Tanjung Barulak
13.04.05.2002|Saruaso
13.04.05.2003|Koto Tangah
13.04.05.2004|Pagaruyung
13.04.06|Lintau Buo
13.04.06.2001|Taluak
13.04.06.2002|Buo
13.04.06.2003|Tigo Jangko
13.04.06.2004|Pangian
13.04.07|Sungayang
13.04.07.2001|Sungai Patai
13.04.07.2002|Andaleh Barung Bukik
13.04.07.2003|Tanjung
13.04.07.2004|Sungayang
13.04.07.2005|Minang Kabau
13.04.08|Sungai Tarab
13.04.08.2001|Simpuruik
13.04.08.2002|Sungai Tarab
13.04.08.2003|Gurun
13.04.08.2004|Talang Tangah
13.04.08.2005|Padang Laweh
13.04.08.2006|Pasie Laweh
13.04.08.2007|Koto Tuo
13.04.08.2008|Rao Rao
13.04.08.2009|Kumango
13.04.08.2010|Koto Baru
13.04.09|Pariangan
13.04.09.2001|Batu Basa
13.04.09.2002|Tabek
13.04.09.2003|Sawah Tangah
13.04.09.2004|Simabur
13.04.09.2005|Pariangan
13.04.09.2006|Sungai Jambu
13.04.10|Salimpauang
13.04.10.2001|Sumanik
13.04.10.2002|Situmbuk
13.04.10.2003|Lawang Mandahiling
13.04.10.2004|Supayang
13.04.10.2005|Salimpaung
13.04.10.2006|Tabek Patah
13.04.11|Padang Ganting
13.04.11.2001|Atar
13.04.11.2002|Padang Ganting
13.04.12|Tanjuang Baru
13.04.12.2001|Tanjung Alam
13.04.12.2002|Barulak
13.04.13|Lintau Buo Utara
13.04.13.2001|Batu Bulek
13.04.13.2002|Balai Tangah
13.04.13.2003|Tanjuang Bonai
13.04.13.2004|Lubuak Jantan
13.04.13.2005|Tapi Selo
13.04.14|Batipuah Selatan
13.04.14.2001|Batu Taba
13.04.14.2002|Sumpur
13.04.14.2003|Padang Laweh Malalo
13.04.14.2004|Guguak Malalo
13.05|KAB. PADANG PARIAMAN
13.05.01|Lubuk Alung
13.05.01.2001|Lubuk Alung
13.05.01.2002|Pungguang Kasiak Lubuk Alung
13.05.01.2003|Pasie Laweh Lubuk Alung
13.05.01.2004|Aie Tajun Lubuk Alung
13.05.01.2005|Sikabu Lubuk Alung
13.05.01.2006|Sungai Abang Lubuk Alung
13.05.01.2007|Singguliang Lubuk Alung
13.05.01.2008|Salibutan Lubuk Alung
13.05.01.2009|Nagari Balah Hilia Lubuk Alung
13.05.02|Batang Anai
13.05.02.2001|Katapiang
13.05.02.2002|Kasang
13.05.02.2003|Sungai Buluah
13.05.02.2004|Buayan Lubuk Alung
13.05.02.2005|Sungai Buluah Timur
13.05.02.2006|Sungai Buluah Barat
13.05.02.2007|Sungai Buluah Utara
13.05.02.2008|Sungai Buluah Selatan
13.05.03|Nan Sabaris
13.05.03.2001|Kapalo Koto
13.05.03.2002|Pauh Kambar
13.05.03.2003|Padang Bintungan
13.05.03.2004|Kurai Taji
13.05.03.2005|Sunua
13.05.03.2006|Padang Kandang Pulau Air Padang
13.05.03.2007|Sunua Tengah
13.05.03.2008|Sunua Barat
13.05.03.2009|Kurai Taji Timur
13.05.04|2 x 11 Enam Lingkuang
13.05.04.2002|Sicincin
13.05.04.2003|Lubuk Pandan
13.05.04.2004|Sungai Asam
13.05.05|VII Koto Sungai Sarik
13.05.05.2001|Balah Aie
13.05.05.2002|Sungai Sariak
13.05.05.2003|Lurah Ampalu
13.05.05.2004|Lareh Nan Panjang
13.05.05.2005|Lareh Nan Panjang Selatan
13.05.05.2006|Lareh Nan Panjang Barat
13.05.05.2007|Bisati Sungai Sariak
13.05.05.2008|Ambuang Kapua Sungai Sariak
13.05.05.2009|Lareh Nan Panjang Sungai Sariak
13.05.05.2010|Limpato Sungai Sariak
13.05.05.2011|Balah Aie Utara
13.05.05.2012|Balah Aie Timur
13.05.06|V Koto Kampung Dalam
13.05.06.2001|Campago
13.05.06.2002|Sikucua
13.05.06.2003|Campago Barat
13.05.06.2004|Campago Selatan
13.05.06.2005|Sikucua Utara
13.05.06.2006|Sikucua Timur
13.05.06.2007|Sikucua Tengah
13.05.06.2008|Sikucua Barat
13.05.07|Sungai Garingging
13.05.07.2001|Kuranji Hulu
13.05.07.2002|Malai III Koto
13.05.07.2003|Batu Gadang Kuranji Hulu
13.05.07.2004|Sungai Sirah Kuranji Hulu
13.05.08|Sungai Limau
13.05.08.2001|Kuranji Hilir
13.05.08.2002|Pilubang
13.05.08.2003|Guguak Kuranji Hilir
13.05.08.2004|Koto Tinggi Kuranji Hilir
13.05.09|IV Koto Aur Malintang
13.05.09.2001|III Koto Aur Malintang
13.05.09.2002|III Koto Aur Malintang Utara
13.05.09.2003|III Koto Aur Malintang Timur
13.05.09.2004|III Koto Aur Malintang Selatan
13.05.09.2005|Balai Baiak Malai III Koto
13.05.10|Ulakan Tapakih
13.05.10.2001|Tapakih
13.05.10.2002|Ulakan
13.05.10.2003|Padang Toboh Ulakan
13.05.10.2004|Sungai Gimba Ulakan
13.05.10.2005|Seulayat Ulakan
13.05.10.2006|Manggopoh Palak Gadang Ulakan
13.05.10.2007|Sandi Ulakan
13.05.10.2008|Kampuang Gelapuang Ulakan
13.05.11|Sintuak Toboh Gadang
13.05.11.2001|Sintuak
13.05.11.2002|Toboh Gadang
13.05.11.2003|Toboh Gadang Selatan
13.05.11.2004|Toboh Gadang Barat
13.05.11.2005|Toboh Gadang Timur
13.05.12|Padang Sago
13.05.12.2001|Koto Baru
13.05.12.2002|Koto Dalam
13.05.12.2003|Batu Kalang
13.05.12.2004|Koto Dalam Barat
13.05.12.2005|Koto Dalam Selatan
13.05.12.2006|Batu Kalang Utara
13.05.13|Batang Gasan
13.05.13.2001|Malai V Suku
13.05.13.2002|Gasan Gadang
13.05.13.2003|Malai V Suku Timur
13.05.14|V Koto Timur
13.05.14.2001|Kudu Gantiang
13.05.14.2002|Limau Puruik
13.05.14.2003|Gunung Padang Alai
13.05.14.2004|Kudu Gantiang Barat
13.05.15|2 x 11 Kayu Tanam
13.05.15.2001|Kayu Tanam
13.05.15.2002|Guguak
13.05.15.2003|Anduriang
13.05.15.2004|Kapalo Hilalang
13.05.16|Patamuan
13.05.16.2001|Sungai Durian
13.05.16.2002|Tandikek
13.05.16.2003|Tandikek Utara
13.05.16.2004|Tandikek Selatan
13.05.16.2005|Tandikek Barat
13.05.16.2006|Kampuang Tanjuang Koto Mambang Sungai
13.05.17|Enam Lingkung
13.05.17.2001|Pakandangan
13.05.17.2002|Koto Tinggi
13.05.17.2003|Toboh Ketek
13.05.17.2004|Parit Malintang
13.05.17.2005|Gadur
13.06|KAB. AGAM
13.06.01|Tanjung Mutiara
13.06.01.2001|Tiku Selatan
13.06.01.2002|Tiku Utara
13.06.01.2003|Tiku Limo Jorong
13.06.02|Lubuk Basung
13.06.02.2001|Lubuk Basung
13.06.02.2002|Geragahan
13.06.02.2003|Kampung Pinang
13.06.02.2004|Kampung Tangah
13.06.02.2005|Manggopoh
13.06.03|Tanjung Raya
13.06.03.2001|Tanjung Sani
13.06.03.2002|Sungai Batang
13.06.03.2003|Maninjau
13.06.03.2004|Bayua
13.06.03.2006|Koto Kaciak
13.06.03.2007|Duo Koto
13.06.03.2008|Koto Gadang
13.06.03.2009|Koto Malintang
13.06.03.2010|Paninjauan
13.06.04|Matur
13.06.04.2001|Matua Hilia
13.06.04.2002|Matua Mudiak
13.06.04.2003|Tigo Balai
13.06.04.2004|Lawang
13.06.04.2005|Parik Panjang
13.06.04.2006|Panta Pauh
13.06.05|IV Koto
13.06.05.2002|Sungai Landia
13.06.05.2003|Balingka
13.06.05.2004|Koto Tuo
13.06.05.2005|Guguk Tabek Sarajo
13.06.05.2006|Koto Panjang
13.06.05.2007|Sianok Anam Suku
13.06.05.2008|Koto Gadang
13.06.06|Banuhampu
13.06.06.2001|Padang Lua
13.06.06.2002|Taluak Ampek Suku
13.06.06.2003|Pakan Sinayan
13.06.06.2004|Kubang Putiah
13.06.06.2005|Ladang Laweh
13.06.06.2006|Cingkariang
13.06.06.2007|Sungai Tanang
13.06.07|Ampek Angkek
13.06.07.2001|Batu Taba
13.06.07.2002|Biaro Gadang
13.06.07.2003|Lambah
13.06.07.2004|Panampung
13.06.07.2005|Ampang Gadang
13.06.07.2006|Pasia
13.06.07.2008|Balai Gurah
13.06.08|Baso
13.06.08.2001|Koto Tinggi
13.06.08.2002|Tabek Panjang
13.06.08.2004|Simarasok
13.06.08.2005|Padang Tarok
13.06.08.2006|Salo
13.06.08.2007|Koto Baru
13.06.09|Tilatang Kamang
13.06.09.2001|Koto Tangah
13.06.09.2003|Gadut
13.06.09.2004|Kapau
13.06.10|Palupuh
13.06.10.2001|Koto Rantang
13.06.10.2002|Pasia Laweh
13.06.10.2003|Pagadih
13.06.10.2004|Nan Tujuah
13.06.11|Pelembayan
13.06.11.2001|Baringin
13.06.11.2002|Sipinang
13.06.11.2003|Sungai Puar
13.06.11.2004|Ampek Koto Palembayan
13.06.11.2005|Tigo Koto Silungkang
13.06.11.2006|Salareh Aia
13.06.12|Sungai Pua
13.06.12.2001|Padang Laweh
13.06.12.2002|Sungai Pua
13.06.12.2003|Batagak
13.06.12.2004|Batu Palano
13.06.12.2005|Sariak
13.06.13|Ampek Nagari
13.06.13.2001|Batu Kambing
13.06.13.2002|Sitalang
13.06.13.2003|Bawan
13.06.13.2004|Sitanang
13.06.14|Candung
13.06.14.2001|Canduang Koto Laweh
13.06.14.2002|Lasi
13.06.14.2003|Bukik Batabuah
13.06.15|Kamang Magek
13.06.15.2001|Magek
13.06.15.2002|Kamang Hilia
13.06.15.2003|Kamang Mudiak
13.06.16|Malalak
13.06.16.2001|Malalak Utara
13.06.16.2002|Malalak Timur
13.06.16.2003|Malalak Selatan
13.06.16.2004|Malalak Barat
13.07|KAB. LIMA PULUH KOTA
13.07.01|Suliki
13.07.01.2001|Kurai
13.07.01.2002|Sungai Rimbang
13.07.01.2003|Tanjuang Bungo
13.07.01.2004|Suliki
13.07.01.2005|Limbanang
13.07.01.2006|Andiang
13.07.02|Guguak
13.07.02.2001|Guguak VIII Koto
13.07.02.2002|VII Koto Talago
13.07.02.2003|Sungai Talang
13.07.02.2004|Kubang
13.07.02.2005|Simpang Sugiran
13.07.03|Payakumbuh
13.07.03.2001|Koto Baru Simalanggang
13.07.03.2002|Taeh Bukik
13.07.03.2003|Simalanggang
13.07.03.2004|Sungai Beringin
13.07.03.2005|Piobang
13.07.03.2006|Taeh Baruah
13.07.03.2007|Koto Tangah Simalanggang
13.07.04|Luak
13.07.04.2001|Tj. Haro Sikabu-kabu Pd. Panjang
13.07.04.2002|Mungo
13.07.04.2003|Sungai Kamuyang
13.07.04.2004|Andaleh
13.07.05|Harau
13.07.05.2001|Taram
13.07.05.2002|Solok Bio Bio
13.07.05.2003|Tarantang
13.07.05.2004|Bukik Limbuku
13.07.05.2005|Harau
13.07.05.2006|Batu Balang
13.07.05.2007|Sarilamak
13.07.05.2008|Gurun
13.07.05.2009|Lubuak Batingkok
13.07.05.2010|Koto Tuo
13.07.05.2011|Pilubang
13.07.06|Pangkalan Koto Baru
13.07.06.2001|Manggilang
13.07.06.2002|Tanjuang Balik
13.07.06.2003|Gunuang Malintang
13.07.06.2004|Pangkalan
13.07.06.2005|Koto Alam
13.07.06.2006|Tanjung Pauh
13.07.07|Kapur IX
13.07.07.2001|Muaro Paiti
13.07.07.2002|Koto Bangun
13.07.07.2003|Lubuak Alai
13.07.07.2004|Koto Lamo
13.07.07.2005|Durian Tinggi
13.07.07.2006|Sialang
13.07.07.2007|Galugua
13.07.08|Gunuang Omeh
13.07.08.2001|Pandam Gadang
13.07.08.2002|Koto Tinggi
13.07.08.2003|Talang Anau
13.07.09|Lareh Sago Halaban
13.07.09.2001|Labuah Gunuang
13.07.09.2002|Batu Payuang
13.07.09.2003|Ampalu
13.07.09.2004|Bukik Sikumpa
13.07.09.2005|Balai Panjang
13.07.09.2006|Halaban
13.07.09.2007|Tanjuang Gadang
13.07.09.2008|Sitanang
13.07.10|Situjuah Limo Nagari
13.07.10.2001|Situjuah Batua
13.07.10.2002|Situjuah Ladang Laweh
13.07.10.2003|Tungka
13.07.10.2004|Situjuah Banda Dalam
13.07.10.2005|Situjuah Gadang
13.07.11|Mungka
13.07.11.2001|Jopang Manganti
13.07.11.2002|Simpang Kapuak
13.07.11.2003|Mungka
13.07.11.2004|Talang Maur
13.07.11.2005|Sungai Antuan
13.07.12|Bukik Barisan
13.07.12.2001|Maek
13.07.12.2002|Banja Loweh
13.07.12.2003|Baruah Gunuang
13.07.12.2004|Sungai Naniang
13.07.12.2005|Koto Tangah
13.07.13|Akabiluru
13.07.13.2001|Sariak Laweh
13.07.13.2002|Koto Tangah Batu Ampa
13.07.13.2003|Batuhampar
13.07.13.2004|Suayan
13.07.13.2005|Sungai Balantiak
13.07.13.2006|Pauh Sangik
13.07.13.2007|Durian Gadang
13.08|KAB. PASAMAN
13.08.04|Bonjol
13.08.04.2001|Limo Koto
13.08.04.2002|Koto Kaciak
13.08.04.2003|Ganggo Mudiak
13.08.04.2004|Ganggo Hilia
13.08.05|Lubuk Sikaping
13.08.05.2001|Tanjuang Baringin
13.08.05.2002|Jambak
13.08.05.2003|Durian Tinggi
13.08.05.2004|Pauah
13.08.05.2005|Aia Manggih
13.08.05.2006|Sundata
13.08.07|Panti
13.08.07.2001|Panti
13.08.07.2003|Panti Timur
13.08.07.2004|Panti Selatan
13.08.08|Mapat Tunggul
13.08.08.2001|Muara Tais
13.08.08.2002|Lubuak Gadang
13.08.08.2005|Pintu Padang
13.08.12|Duo Koto
13.08.12.2001|Simpang Tonang
13.08.12.2002|Cubadak
13.08.13|Tigo Nagari
13.08.13.2001|Malampah
13.08.13.2002|Ladang Panjang
13.08.13.2003|Binjai
